question_id,N,sign_entropy_gt,sign_entropy_ge,zero_mass,active_coordinates,cv_sigma,zero_variance_coordinates,top32_share,first32_share,first32_top32_intersection,corr_off_mass,corr_median_abs,corr_p95_abs,residual_mean_max_abs
001be529,514,0.9981882801298623,0.9981882801298623,0.0,96,0.5022039166050022,0,0.7606797345471864,0.7606797345471864,32,0.16317077829226861,0.005541864250629574,0.021405509935573035,1.5530162542908317e-16
00ca467f,486,0.9970712579838036,0.9970712579838036,0.0,96,0.492975336065926,0,0.7582781804402391,0.758278180440239,32,0.14278800597077512,0.0034829175061428827,0.011518499770217096,3.211308676680687e-16
0100672e,486,0.9973658792638954,0.9973658792638954,0.0,96,0.49599941003243314,0,0.7605388556445988,0.7605388556445988,32,0.14772826910607745,0.00393632438899167,0.013971837585990177,1.648772567948985e-16
01493427,487,0.9975937473446584,0.9975937473446584,0.0,96,0.4947582808848319,0,0.7623766909508338,0.7623766909508338,32,0.14261821275766787,0.0034881748513729315,0.011126411212811261,1.4305235070888823e-16
031748ae,494,0.997543468542387,0.997543468542387,0.0,96,0.4950398045362445,0,0.7593180357220133,0.7593180357220133,32,0.152496344312263,0.004790050146602068,0.016501391468979852,2.1496524758177373e-16
06878be2,443,0.9970313375757538,0.9970313375757538,0.0,96,0.49219832824232795,0,0.7583751565808811,0.7583751565808812,32,0.15144963784481022,0.004271381351276757,0.01618131722001022,5.017932395159638e-16
06db6396,479,0.9972162725818648,0.9972162725818648,0.0,96,0.4877776515138446,0,0.7556979776316624,0.7556979776316625,32,0.15121893094454109,0.004586324111135164,0.016501892557094087,3.9402487304024344e-17
06f04340,503,0.9971851771202352,0.9971851771202352,0.0,96,0.49850843881960044,0,0.7610563731766916,0.7610563731766916,32,0.15461839836480323,0.004848668932887051,0.017957130792529988,3.777075846699402e-17
07741c44,513,0.9974350095529578,0.9974350095529578,0.0,96,0.4940351891581192,0,0.7600904833654007,0.7600904833654007,32,0.1491053731880619,0.004300923894008109,0.015232115901725827,5.799995528256178e-17
07741c45,527,0.9963557502804196,0.9963557502804196,0.0,96,0.5036330286464418,0,0.7629035950235125,0.7629035950235125,32,0.16241516929494476,0.005809491459292234,0.020640599714760392,1.171843562519437e-16
