n,distribution,rotation_group,rotation_seed,objective_mean,stored_objective_mean,exact_match
100,gaussian,initial_haar,7312001,0.40303494737337664,0.40303494737337664,True
100,gaussian,initial_haar,7312002,0.4016034661610799,0.4016034661610799,True
100,gaussian,initial_haar,7312003,0.40639682355353274,0.40639682355353274,True
100,gaussian,initial_haar,7312004,0.407103966811144,0.407103966811144,True
100,gaussian,initial_haar,7312005,0.396873375381025,0.396873375381025,True
100,gaussian,initial_haar,7312006,0.4035086107649037,0.4035086107649037,True
100,gaussian,initial_haar,7312007,0.4027450192010409,0.4027450192010409,True
100,gaussian,initial_haar,7312008,0.4003096427362487,0.4003096427362487,True
100,gaussian,initial_haar,7312009,0.4042288690477691,0.4042288690477691,True
100,gaussian,initial_haar,7312010,0.400286368877216,0.400286368877216,True
100,gaussian,initial_haar,7312011,0.40539671894046453,0.40539671894046453,True
100,gaussian,initial_haar,7312012,0.3998620422004326,0.3998620422004326,True
100,gaussian,initial_haar,7312013,0.4110893314597925,0.4110893314597925,True
100,gaussian,initial_haar,7312014,0.40298186835730526,0.40298186835730526,True
100,gaussian,initial_haar,7312015,0.4029489892208239,0.4029489892208239,True
100,gaussian,initial_haar,7312016,0.40373585345777374,0.40373585345777374,True
100,gaussian,initial_haar,7312017,0.3976007776915361,0.3976007776915361,True
100,gaussian,initial_haar,7312018,0.4070632567252836,0.4070632567252836,True
100,gaussian,initial_haar,7312019,0.40181039129954355,0.40181039129954355,True
100,gaussian,initial_haar,7312020,0.4048377245634903,0.4048377245634903,True
100,gaussian,null_haar,8312001,0.41387083115493806,0.41387083115493806,True
100,gaussian,null_haar,8312002,0.39930863845828357,0.39930863845828357,True
100,gaussian,null_haar,8312003,0.40165145229802496,0.40165145229802496,True
100,gaussian,null_haar,8312004,0.4072119591199305,0.4072119591199305,True
100,gaussian,null_haar,8312005,0.4042393826900546,0.4042393826900546,True
100,gaussian,null_haar,8312006,0.4041349370692634,0.4041349370692634,True
100,gaussian,null_haar,8312007,0.4114201429055121,0.4114201429055121,True
100,gaussian,null_haar,8312008,0.40402992923967657,0.40402992923967657,True
100,gaussian,null_haar,8312009,0.4023568158481276,0.4023568158481276,True
100,gaussian,null_haar,8312010,0.4044515807847461,0.4044515807847461,True
100,gaussian,null_haar,8312011,0.4033114310061979,0.4033114310061979,True
100,gaussian,null_haar,8312012,0.40291948860283944,0.40291948860283944,True
100,gaussian,null_haar,8312013,0.4107849265086771,0.4107849265086771,True
100,gaussian,null_haar,8312014,0.397299267244488,0.397299267244488,True
100,gaussian,null_haar,8312015,0.40009106480782786,0.40009106480782786,True
100,gaussian,null_haar,8312016,0.39736685333602084,0.39736685333602084,True
100,gaussian,null_haar,8312017,0.4036355973136915,0.4036355973136915,True
100,gaussian,null_haar,8312018,0.40494797533470134,0.40494797533470134,True
100,gaussian,null_haar,8312019,0.3954095185619603,0.3954095185619603,True
100,gaussian,null_haar,8312020,0.4059865634423463,0.4059865634423463,True
100,heterogeneous,initial_haar,7312001,0.41098020554311093,0.41098020554311093,True
100,heterogeneous,initial_haar,7312002,0.40462238924469146,0.40462238924469146,True
100,heterogeneous,initial_haar,7312003,0.40864977561972377,0.40864977561972377,True
100,heterogeneous,initial_haar,7312004,0.4072439580616383,0.4072439580616383,True
100,heterogeneous,initial_haar,7312005,0.40556723505058356,0.40556723505058356,True
100,heterogeneous,initial_haar,7312006,0.40280722288220727,0.40280722288220727,True
100,heterogeneous,initial_haar,7312007,0.41195841127210986,0.41195841127210986,True
100,heterogeneous,initial_haar,7312008,0.40038594320766857,0.40038594320766857,True
100,heterogeneous,initial_haar,7312009,0.4107982953919214,0.4107982953919214,True
100,heterogeneous,initial_haar,7312010,0.39817339204619806,0.39817339204619806,True
100,heterogeneous,initial_haar,7312011,0.4101062584691973,0.4101062584691973,True
100,heterogeneous,initial_haar,7312012,0.404113994068524,0.404113994068524,True
100,heterogeneous,initial_haar,7312013,0.41725772482973755,0.41725772482973755,True
100,heterogeneous,initial_haar,7312014,0.408467024649377,0.408467024649377,True
100,heterogeneous,initial_haar,7312015,0.40807645536748005,0.40807645536748005,True
100,heterogeneous,initial_haar,7312016,0.39835316293696177,0.39835316293696177,True
100,heterogeneous,initial_haar,7312017,0.40848092875657416,0.40848092875657416,True
100,heterogeneous,initial_haar,7312018,0.4012350246108981,0.4012350246108981,True
100,heterogeneous,initial_haar,7312019,0.40428550803964164,0.40428550803964164,True
100,heterogeneous,initial_haar,7312020,0.3975544638239358,0.3975544638239358,True
100,heterogeneous,null_haar,8312001,0.4070335251275749,0.4070335251275749,True
100,heterogeneous,null_haar,8312002,0.4065001245566836,0.4065001245566836,True
100,heterogeneous,null_haar,8312003,0.40662444790383045,0.40662444790383045,True
100,heterogeneous,null_haar,8312004,0.40612103412800005,0.40612103412800005,True
100,heterogeneous,null_haar,8312005,0.40787811589327255,0.40787811589327255,True
100,heterogeneous,null_haar,8312006,0.4069592723758232,0.4069592723758232,True
100,heterogeneous,null_haar,8312007,0.41039851479360107,0.41039851479360107,True
100,heterogeneous,null_haar,8312008,0.40322462250688806,0.40322462250688806,True
100,heterogeneous,null_haar,8312009,0.40381191191506294,0.40381191191506294,True
100,heterogeneous,null_haar,8312010,0.40717695855872804,0.40717695855872804,True
100,heterogeneous,null_haar,8312011,0.3995873583849512,0.3995873583849512,True
100,heterogeneous,null_haar,8312012,0.40286029240872284,0.40286029240872284,True
100,heterogeneous,null_haar,8312013,0.41135464804824934,0.41135464804824934,True
100,heterogeneous,null_haar,8312014,0.4079568156884846,0.4079568156884846,True
100,heterogeneous,null_haar,8312015,0.40969287826583844,0.40969287826583844,True
100,heterogeneous,null_haar,8312016,0.4045164056674034,0.4045164056674034,True
100,heterogeneous,null_haar,8312017,0.4086781839547276,0.4086781839547276,True
100,heterogeneous,null_haar,8312018,0.4039802987431629,0.4039802987431629,True
100,heterogeneous,null_haar,8312019,0.4056524647992083,0.4056524647992083,True
100,heterogeneous,null_haar,8312020,0.4043831232777634,0.4043831232777634,True
100,rotated_heterogeneous,initial_haar,7312001,0.4009125589976229,0.4009125589976229,True
100,rotated_heterogeneous,initial_haar,7312002,0.4009326226268995,0.4009326226268995,True
100,rotated_heterogeneous,initial_haar,7312003,0.40802383147002175,0.40802383147002175,True
100,rotated_heterogeneous,initial_haar,7312004,0.4037104592594271,0.4037104592594271,True
100,rotated_heterogeneous,initial_haar,7312005,0.4051904029628896,0.4051904029628896,True
100,rotated_heterogeneous,initial_haar,7312006,0.4013240413429794,0.4013240413429794,True
100,rotated_heterogeneous,initial_haar,7312007,0.4070418521621522,0.4070418521621522,True
100,rotated_heterogeneous,initial_haar,7312008,0.41157901988250994,0.41157901988250994,True
100,rotated_heterogeneous,initial_haar,7312009,0.40108874408491935,0.40108874408491935,True
100,rotated_heterogeneous,initial_haar,7312010,0.40040897463553327,0.40040897463553327,True
100,rotated_heterogeneous,initial_haar,7312011,0.4087377305131906,0.4087377305131906,True
100,rotated_heterogeneous,initial_haar,7312012,0.4057079137105521,0.4057079137105521,True
100,rotated_heterogeneous,initial_haar,7312013,0.40772006244409104,0.40772006244409104,True
100,rotated_heterogeneous,initial_haar,7312014,0.40410456969159164,0.40410456969159164,True
100,rotated_heterogeneous,initial_haar,7312015,0.40508401457926685,0.40508401457926685,True
100,rotated_heterogeneous,initial_haar,7312016,0.41136521430841705,0.41136521430841705,True
100,rotated_heterogeneous,initial_haar,7312017,0.39780519232208006,0.39780519232208006,True
100,rotated_heterogeneous,initial_haar,7312018,0.41411217789130494,0.41411217789130494,True
100,rotated_heterogeneous,initial_haar,7312019,0.3938569929009626,0.3938569929009626,True
100,rotated_heterogeneous,initial_haar,7312020,0.40493179092599524,0.40493179092599524,True
100,rotated_heterogeneous,null_haar,8312001,0.4039002355708414,0.4039002355708414,True
100,rotated_heterogeneous,null_haar,8312002,0.4025496434667393,0.4025496434667393,True
100,rotated_heterogeneous,null_haar,8312003,0.41262984061606195,0.41262984061606195,True
100,rotated_heterogeneous,null_haar,8312004,0.4054054395226461,0.4054054395226461,True
100,rotated_heterogeneous,null_haar,8312005,0.4059085677547867,0.4059085677547867,True
100,rotated_heterogeneous,null_haar,8312006,0.4082667803159878,0.4082667803159878,True
100,rotated_heterogeneous,null_haar,8312007,0.4119576084304757,0.4119576084304757,True
100,rotated_heterogeneous,null_haar,8312008,0.4092519146412499,0.4092519146412499,True
100,rotated_heterogeneous,null_haar,8312009,0.41181138301205306,0.41181138301205306,True
100,rotated_heterogeneous,null_haar,8312010,0.40564316824576574,0.40564316824576574,True
100,rotated_heterogeneous,null_haar,8312011,0.4147765796756506,0.4147765796756506,True
100,rotated_heterogeneous,null_haar,8312012,0.4090494620255904,0.4090494620255904,True
100,rotated_heterogeneous,null_haar,8312013,0.40539362173218035,0.40539362173218035,True
100,rotated_heterogeneous,null_haar,8312014,0.3974000529824478,0.3974000529824478,True
100,rotated_heterogeneous,null_haar,8312015,0.4122856123550537,0.4122856123550537,True
100,rotated_heterogeneous,null_haar,8312016,0.409571131389503,0.409571131389503,True
100,rotated_heterogeneous,null_haar,8312017,0.40550779506772605,0.40550779506772605,True
100,rotated_heterogeneous,null_haar,8312018,0.4047675790521762,0.4047675790521762,True
100,rotated_heterogeneous,null_haar,8312019,0.40571493633424655,0.40571493633424655,True
100,rotated_heterogeneous,null_haar,8312020,0.4054123267272418,0.4054123267272418,True
250,gaussian,initial_haar,7312001,0.3986320190301653,0.3986320190301653,True
250,gaussian,initial_haar,7312002,0.4010193089671296,0.4010193089671296,True
250,gaussian,initial_haar,7312003,0.39641412220177524,0.39641412220177524,True
250,gaussian,initial_haar,7312004,0.39926105010334284,0.39926105010334284,True
250,gaussian,initial_haar,7312005,0.39890770020635985,0.39890770020635985,True
250,gaussian,initial_haar,7312006,0.4011055601570515,0.4011055601570515,True
250,gaussian,initial_haar,7312007,0.3979815312975341,0.3979815312975341,True
250,gaussian,initial_haar,7312008,0.4019041484576221,0.4019041484576221,True
250,gaussian,initial_haar,7312009,0.3972581010027413,0.3972581010027413,True
250,gaussian,initial_haar,7312010,0.40187054100334807,0.40187054100334807,True
250,gaussian,initial_haar,7312011,0.3972411499140864,0.3972411499140864,True
250,gaussian,initial_haar,7312012,0.3991243843993102,0.3991243843993102,True
250,gaussian,initial_haar,7312013,0.40058441092877833,0.40058441092877833,True
250,gaussian,initial_haar,7312014,0.4013982329612495,0.4013982329612495,True
250,gaussian,initial_haar,7312015,0.4022846522760423,0.4022846522760423,True
250,gaussian,initial_haar,7312016,0.39837671877921177,0.39837671877921177,True
250,gaussian,initial_haar,7312017,0.39936877213353245,0.39936877213353245,True
250,gaussian,initial_haar,7312018,0.39792615744329807,0.39792615744329807,True
250,gaussian,initial_haar,7312019,0.4017427676150803,0.4017427676150803,True
250,gaussian,initial_haar,7312020,0.39943920823783285,0.39943920823783285,True
250,gaussian,null_haar,8312001,0.39600102117097685,0.39600102117097685,True
250,gaussian,null_haar,8312002,0.39895819861748444,0.39895819861748444,True
250,gaussian,null_haar,8312003,0.39575132796273366,0.39575132796273366,True
250,gaussian,null_haar,8312004,0.400123702963434,0.400123702963434,True
250,gaussian,null_haar,8312005,0.40151692660385485,0.40151692660385485,True
250,gaussian,null_haar,8312006,0.39735179984021657,0.39735179984021657,True
250,gaussian,null_haar,8312007,0.40215139594941607,0.40215139594941607,True
250,gaussian,null_haar,8312008,0.40018527794797987,0.40018527794797987,True
250,gaussian,null_haar,8312009,0.40670470830037636,0.40670470830037636,True
250,gaussian,null_haar,8312010,0.40048754617508103,0.40048754617508103,True
250,gaussian,null_haar,8312011,0.39951761224762194,0.39951761224762194,True
250,gaussian,null_haar,8312012,0.39812107167678285,0.39812107167678285,True
250,gaussian,null_haar,8312013,0.40475226141193615,0.40475226141193615,True
250,gaussian,null_haar,8312014,0.39832599841939575,0.39832599841939575,True
250,gaussian,null_haar,8312015,0.39794681027366974,0.39794681027366974,True
250,gaussian,null_haar,8312016,0.3997701578051618,0.3997701578051618,True
250,gaussian,null_haar,8312017,0.39927956065955655,0.39927956065955655,True
250,gaussian,null_haar,8312018,0.39832174340085735,0.39832174340085735,True
250,gaussian,null_haar,8312019,0.3969213560310806,0.3969213560310806,True
250,gaussian,null_haar,8312020,0.3991478541706742,0.3991478541706742,True
250,heterogeneous,initial_haar,7312001,0.4076838612921517,0.4076838612921517,True
250,heterogeneous,initial_haar,7312002,0.40144649402134824,0.40144649402134824,True
250,heterogeneous,initial_haar,7312003,0.39940355426857105,0.39940355426857105,True
250,heterogeneous,initial_haar,7312004,0.403776039086041,0.403776039086041,True
250,heterogeneous,initial_haar,7312005,0.40289155085237544,0.40289155085237544,True
250,heterogeneous,initial_haar,7312006,0.3982818625854279,0.3982818625854279,True
250,heterogeneous,initial_haar,7312007,0.4014672980882438,0.4014672980882438,True
250,heterogeneous,initial_haar,7312008,0.40394463966861077,0.40394463966861077,True
250,heterogeneous,initial_haar,7312009,0.4013687741756475,0.4013687741756475,True
250,heterogeneous,initial_haar,7312010,0.40205018555978117,0.40205018555978117,True
250,heterogeneous,initial_haar,7312011,0.4032126586946436,0.4032126586946436,True
250,heterogeneous,initial_haar,7312012,0.4024959995198848,0.4024959995198848,True
250,heterogeneous,initial_haar,7312013,0.40492878242845004,0.40492878242845004,True
250,heterogeneous,initial_haar,7312014,0.4028292196134274,0.4028292196134274,True
250,heterogeneous,initial_haar,7312015,0.4012915918638928,0.4012915918638928,True
250,heterogeneous,initial_haar,7312016,0.4033574975725531,0.4033574975725531,True
250,heterogeneous,initial_haar,7312017,0.4033612155287078,0.4033612155287078,True
250,heterogeneous,initial_haar,7312018,0.40140755672957357,0.40140755672957357,True
250,heterogeneous,initial_haar,7312019,0.40187132908565204,0.40187132908565204,True
250,heterogeneous,initial_haar,7312020,0.40216456309868376,0.40216456309868376,True
250,heterogeneous,null_haar,8312001,0.4022864696810922,0.4022864696810922,True
250,heterogeneous,null_haar,8312002,0.401269319282101,0.401269319282101,True
250,heterogeneous,null_haar,8312003,0.40291101733621476,0.40291101733621476,True
250,heterogeneous,null_haar,8312004,0.40121624006647283,0.40121624006647283,True
250,heterogeneous,null_haar,8312005,0.40030803062123,0.40030803062123,True
250,heterogeneous,null_haar,8312006,0.3998642091589715,0.3998642091589715,True
250,heterogeneous,null_haar,8312007,0.4002547599776955,0.4002547599776955,True
250,heterogeneous,null_haar,8312008,0.40210993572636367,0.40210993572636367,True
250,heterogeneous,null_haar,8312009,0.401012008089652,0.401012008089652,True
250,heterogeneous,null_haar,8312010,0.4059076265992824,0.4059076265992824,True
250,heterogeneous,null_haar,8312011,0.40200133636203267,0.40200133636203267,True
250,heterogeneous,null_haar,8312012,0.40342460522292983,0.40342460522292983,True
250,heterogeneous,null_haar,8312013,0.4078030589914808,0.4078030589914808,True
250,heterogeneous,null_haar,8312014,0.39848775159749655,0.39848775159749655,True
250,heterogeneous,null_haar,8312015,0.40208359553174844,0.40208359553174844,True
250,heterogeneous,null_haar,8312016,0.39917424975601684,0.39917424975601684,True
250,heterogeneous,null_haar,8312017,0.4045445712595728,0.4045445712595728,True
250,heterogeneous,null_haar,8312018,0.40100044344640634,0.40100044344640634,True
250,heterogeneous,null_haar,8312019,0.40248890213110794,0.40248890213110794,True
250,heterogeneous,null_haar,8312020,0.40520707502666525,0.40520707502666525,True
250,rotated_heterogeneous,initial_haar,7312001,0.40367746532910437,0.40367746532910437,True
250,rotated_heterogeneous,initial_haar,7312002,0.40293434481706997,0.40293434481706997,True
250,rotated_heterogeneous,initial_haar,7312003,0.3977072737595919,0.3977072737595919,True
250,rotated_heterogeneous,initial_haar,7312004,0.4023234655511795,0.4023234655511795,True
250,rotated_heterogeneous,initial_haar,7312005,0.39779481477646345,0.39779481477646345,True
250,rotated_heterogeneous,initial_haar,7312006,0.4050417348257594,0.4050417348257594,True
250,rotated_heterogeneous,initial_haar,7312007,0.4013144034483312,0.4013144034483312,True
250,rotated_heterogeneous,initial_haar,7312008,0.4061693857010992,0.4061693857010992,True
250,rotated_heterogeneous,initial_haar,7312009,0.4053813946608917,0.4053813946608917,True
250,rotated_heterogeneous,initial_haar,7312010,0.40093696818142166,0.40093696818142166,True
250,rotated_heterogeneous,initial_haar,7312011,0.4029796550268126,0.4029796550268126,True
250,rotated_heterogeneous,initial_haar,7312012,0.40158798362170395,0.40158798362170395,True
250,rotated_heterogeneous,initial_haar,7312013,0.4014129043271023,0.4014129043271023,True
250,rotated_heterogeneous,initial_haar,7312014,0.4019950643509942,0.4019950643509942,True
250,rotated_heterogeneous,initial_haar,7312015,0.4009144713795713,0.4009144713795713,True
250,rotated_heterogeneous,initial_haar,7312016,0.3995400232397557,0.3995400232397557,True
250,rotated_heterogeneous,initial_haar,7312017,0.3945994173018872,0.3945994173018872,True
250,rotated_heterogeneous,initial_haar,7312018,0.39741872110172405,0.39741872110172405,True
250,rotated_heterogeneous,initial_haar,7312019,0.40398870886939153,0.40398870886939153,True
250,rotated_heterogeneous,initial_haar,7312020,0.401831199110165,0.401831199110165,True
250,rotated_heterogeneous,null_haar,8312001,0.39652625465889213,0.39652625465889213,True
250,rotated_heterogeneous,null_haar,8312002,0.40353245723660225,0.40353245723660225,True
250,rotated_heterogeneous,null_haar,8312003,0.40789924536470834,0.40789924536470834,True
250,rotated_heterogeneous,null_haar,8312004,0.40184767357989026,0.40184767357989026,True
250,rotated_heterogeneous,null_haar,8312005,0.40054121592858677,0.40054121592858677,True
250,rotated_heterogeneous,null_haar,8312006,0.39954926785069383,0.39954926785069383,True
250,rotated_heterogeneous,null_haar,8312007,0.40385797798641015,0.40385797798641015,True
250,rotated_heterogeneous,null_haar,8312008,0.4035688828618288,0.4035688828618288,True
250,rotated_heterogeneous,null_haar,8312009,0.399738751718795,0.399738751718795,True
250,rotated_heterogeneous,null_haar,8312010,0.40169669833458194,0.40169669833458194,True
250,rotated_heterogeneous,null_haar,8312011,0.40032007067009606,0.40032007067009606,True
250,rotated_heterogeneous,null_haar,8312012,0.403530904446622,0.403530904446622,True
250,rotated_heterogeneous,null_haar,8312013,0.4022992019449106,0.4022992019449106,True
250,rotated_heterogeneous,null_haar,8312014,0.40013175135169726,0.40013175135169726,True
250,rotated_heterogeneous,null_haar,8312015,0.40033675873016666,0.40033675873016666,True
250,rotated_heterogeneous,null_haar,8312016,0.4017631346141449,0.4017631346141449,True
250,rotated_heterogeneous,null_haar,8312017,0.4001354686724025,0.4001354686724025,True
250,rotated_heterogeneous,null_haar,8312018,0.40464563542994186,0.40464563542994186,True
250,rotated_heterogeneous,null_haar,8312019,0.4004218356800058,0.4004218356800058,True
250,rotated_heterogeneous,null_haar,8312020,0.3972177946342405,0.3972177946342405,True
500,gaussian,initial_haar,7312001,0.4042993785469101,0.4042993785469101,True
500,gaussian,initial_haar,7312002,0.4028355014779022,0.4028355014779022,True
500,gaussian,initial_haar,7312003,0.40058241812001644,0.40058241812001644,True
500,gaussian,initial_haar,7312004,0.40103214535979775,0.40103214535979775,True
500,gaussian,initial_haar,7312005,0.4042788512765645,0.4042788512765645,True
500,gaussian,initial_haar,7312006,0.4026221062584172,0.4026221062584172,True
500,gaussian,initial_haar,7312007,0.4022725327377866,0.4022725327377866,True
500,gaussian,initial_haar,7312008,0.4023591460318114,0.4023591460318114,True
500,gaussian,initial_haar,7312009,0.40381774495667516,0.40381774495667516,True
500,gaussian,initial_haar,7312010,0.4043509588310823,0.4043509588310823,True
500,gaussian,initial_haar,7312011,0.40329777060518307,0.40329777060518307,True
500,gaussian,initial_haar,7312012,0.40394266742946916,0.40394266742946916,True
500,gaussian,initial_haar,7312013,0.4035001772861128,0.4035001772861128,True
500,gaussian,initial_haar,7312014,0.4036692690106449,0.4036692690106449,True
500,gaussian,initial_haar,7312015,0.404016503584675,0.404016503584675,True
500,gaussian,initial_haar,7312016,0.40298650718774903,0.40298650718774903,True
500,gaussian,initial_haar,7312017,0.40296017096119136,0.40296017096119136,True
500,gaussian,initial_haar,7312018,0.40469722570894956,0.40469722570894956,True
500,gaussian,initial_haar,7312019,0.405011161004573,0.405011161004573,True
500,gaussian,initial_haar,7312020,0.39972390131155566,0.39972390131155566,True
500,gaussian,null_haar,8312001,0.39950794811404583,0.39950794811404583,True
500,gaussian,null_haar,8312002,0.4018827824942908,0.4018827824942908,True
500,gaussian,null_haar,8312003,0.4027464451495507,0.4027464451495507,True
500,gaussian,null_haar,8312004,0.4059059244170926,0.4059059244170926,True
500,gaussian,null_haar,8312005,0.40312866222818405,0.40312866222818405,True
500,gaussian,null_haar,8312006,0.40532119987293397,0.40532119987293397,True
500,gaussian,null_haar,8312007,0.403042307070913,0.403042307070913,True
500,gaussian,null_haar,8312008,0.403236726581382,0.403236726581382,True
500,gaussian,null_haar,8312009,0.40032001750761637,0.40032001750761637,True
500,gaussian,null_haar,8312010,0.40337991033781173,0.40337991033781173,True
500,gaussian,null_haar,8312011,0.4041136127051671,0.4041136127051671,True
500,gaussian,null_haar,8312012,0.40430568618864837,0.40430568618864837,True
500,gaussian,null_haar,8312013,0.4005435506055087,0.4005435506055087,True
500,gaussian,null_haar,8312014,0.4051418156913131,0.4051418156913131,True
500,gaussian,null_haar,8312015,0.40075670345328224,0.40075670345328224,True
500,gaussian,null_haar,8312016,0.4033942263437992,0.4033942263437992,True
500,gaussian,null_haar,8312017,0.4018554406170396,0.4018554406170396,True
500,gaussian,null_haar,8312018,0.3984330431997789,0.3984330431997789,True
500,gaussian,null_haar,8312019,0.4052785947685447,0.4052785947685447,True
500,gaussian,null_haar,8312020,0.4056371451153195,0.4056371451153195,True
500,heterogeneous,initial_haar,7312001,0.40777482451963587,0.40777482451963587,True
500,heterogeneous,initial_haar,7312002,0.40819360678927796,0.40819360678927796,True
500,heterogeneous,initial_haar,7312003,0.40928789822044154,0.40928789822044154,True
500,heterogeneous,initial_haar,7312004,0.4113737350627242,0.4113737350627242,True
500,heterogeneous,initial_haar,7312005,0.409114314139579,0.409114314139579,True
500,heterogeneous,initial_haar,7312006,0.407893656677683,0.407893656677683,True
500,heterogeneous,initial_haar,7312007,0.4082474207257479,0.4082474207257479,True
500,heterogeneous,initial_haar,7312008,0.4049200590550625,0.4049200590550625,True
500,heterogeneous,initial_haar,7312009,0.41001393115458584,0.41001393115458584,True
