tier,conversation_id,units,rank,finite,archive_hash_A,archive_hash_B,query_hash_A,query_hash_B,bitwise_equal
100K,12,392,96,true,25089a07760a08d816f9ae0c8af2f02b284e1217807af4d0270acbb58f580025,25089a07760a08d816f9ae0c8af2f02b284e1217807af4d0270acbb58f580025,261cf4a8aa674a2d84981900e2bcd42b3d3764616df6abb1fa4b8374095d1168,261cf4a8aa674a2d84981900e2bcd42b3d3764616df6abb1fa4b8374095d1168,true
500K,32,1424,96,true,4316647503f2bbfb79eaa13c7d79c1f760cb6297cc52ffaa4cf7dbd9b9f4a676,4316647503f2bbfb79eaa13c7d79c1f760cb6297cc52ffaa4cf7dbd9b9f4a676,dd87a69b997d7cd742ec5364e47fa68f779c304320c0abe66e6279925560423c,dd87a69b997d7cd742ec5364e47fa68f779c304320c0abe66e6279925560423c,true
1M,25,3008,96,true,c1a5603ac97afce588a81b97e8373edb482f754f1ad90a2465ed1b8c9ab4bf56,c1a5603ac97afce588a81b97e8373edb482f754f1ad90a2465ed1b8c9ab4bf56,2e4a598d02c2673e740e50aef0074faf1a43d2f29d3bb1a706c7ad853b31e800,2e4a598d02c2673e740e50aef0074faf1a43d2f29d3bb1a706c7ad853b31e800,true
10M,10,23716,96,true,b0d157898ba1ca5362a85bcb969c296fdb6f1ae733a800744fd2b4f0006f2734,b0d157898ba1ca5362a85bcb969c296fdb6f1ae733a800744fd2b4f0006f2734,978d0f4dbd7822fdd0343e46e514a3d35b8c6ed017c3f54c6a88e93930ea6b68,978d0f4dbd7822fdd0343e46e514a3d35b8c6ed017c3f54c6a88e93930ea6b68,true

