category,questions_valid,native_fractional_R3,haar96_mean_fractional_R3,native_minus_haar_pp
1,282,0.10871703355745908,0.06600295225491194,4.271408130254715
2,320,0.25520833333333337,0.11597916666666667,13.922916666666666
3,92,0.09510869565217392,0.07896046462063086,1.6148231031543052
4,841,0.287782401902497,0.17644669044787953,11.133571145461751
