arm,questions_common_valid,raw_fractional_R3,audit_fractional_R3,audit_minus_raw_pp,abs_effect_pp
NATIVE_SIGN96,1534,0.2376486084536932,0.2367013494979597,-0.09472589557334987,0.09472589557334987
HAAR96_SIGN_MEAN,1534,0.13972317214774055,0.13779804125227066,-0.19251308954698898,0.19251308954698898
ITQ96_CENTERED_MEAN,1534,0.14437791289305169,0.14230126919776392,-0.2076643695287761,0.2076643695287761
HAAR96_SIGN_seed43001,1534,0.13164500753483804,0.13000441648746733,-0.16405910473707153,0.16405910473707153
HAAR96_SIGN_seed43002,1534,0.13903014070931372,0.13814874338723843,-0.08813973220752891,0.08813973220752891
HAAR96_SIGN_seed43003,1534,0.14594132797522627,0.14369657414148937,-0.2244753833736901,0.2244753833736901
HAAR96_SIGN_seed43004,1534,0.13822083256280662,0.13546349103427865,-0.2757341528527968,0.2757341528527968
HAAR96_SIGN_seed43005,1534,0.14377855195651806,0.1416769812108795,-0.21015707456385757,0.21015707456385757
ITQ96_CENTERED_seed101,1534,0.14295554022248938,0.14095718546989733,-0.1998354752592052,0.1998354752592052
ITQ96_CENTERED_seed202,1534,0.14070494006934686,0.13845591790507045,-0.22490221642764152,0.22490221642764152
ITQ96_CENTERED_seed303,1534,0.14057300985267088,0.14010737379381447,-0.046563605885641124,0.046563605885641124
ITQ96_CENTERED_seed404,1534,0.15010131740158764,0.14795163092986727,-0.2149686471720369,0.2149686471720369
ITQ96_CENTERED_seed505,1534,0.1475547569191637,0.14403423789017009,-0.3520519028993613,0.3520519028993613
