seed,subset,pair_count,discrimination_sum,same_sign_adv_sum,tie_count,pairwise_gold_vs_nongold_discrimination,gold_minus_nongold_same_sign_advantage
56001,Full96,1433817,1140788.5,124507.47916666667,45095.0,0.7956304744608272,0.08683638090960469
56001,Head32,1433817,1059072.0,133254.15625,103724.0,0.7386381944139315,0.0929366552705122
56001,Tail64,1433817,1078360.0,120134.140625,61876.0,0.7520903992629464,0.08378624372915093
56002,Full96,1433817,1142108.0,123886.01041666667,45032.0,0.7965507453182659,0.08640294432041654
56002,Head32,1433817,1054688.0,131010.71875,105496.0,0.7355806215158559,0.09137199429913301
56002,Tail64,1433817,1078555.5,120323.65625,61909.0,0.752226748601809,0.08391841933105829
56003,Full96,1433817,1144422.0,123185.73958333333,45304.0,0.7981646193342665,0.08591454807924116
56003,Head32,1433817,1068396.5,137466.375,102653.0,0.7451414650544665,0.0958744212127489
56003,Tail64,1433817,1070518.0,116045.421875,63694.0,0.7466210820488249,0.08093461151248729
56004,Full96,1433817,1146752.0,124640.08333333333,44212.0,0.7997896523754426,0.08692886423674244
56004,Head32,1433817,1063232.5,134860.25,103377.0,0.7415398896790873,0.09405680780741196
56004,Tail64,1433817,1081321.5,119530.0,62551.0,0.7541558650790163,0.08336489245140767
56005,Full96,1433817,1153108.0,125868.25,44694.0,0.8042225751263934,0.08778543565880444
56005,Head32,1433817,1063634.0,135631.3125,102408.0,0.741819911467084,0.09459457692299644
56005,Tail64,1433817,1085715.0,120986.71875,62658.0,0.7572200636482899,0.08438086502670843
