conv_id,questions_valid,native_fractional_R3,haar96_mean_fractional_R3,native_minus_haar_pp
locomo_0,150,0.22552380952380952,0.1553793650793651,7.014444444444443
locomo_1,81,0.358559670781893,0.2598765432098766,9.868312757201645
locomo_2,152,0.17006578947368423,0.09878837719298246,7.127741228070175
locomo_3,199,0.2454534577650155,0.14925580282364204,9.619765494137352
locomo_4,178,0.3194756554307116,0.1524317817014446,16.7043873729267
locomo_5,123,0.24478319783197833,0.17226287262872628,7.252032520325203
locomo_6,149,0.13020134228187918,0.08532774049217003,4.487360178970916
locomo_7,191,0.2326003490401396,0.07500174520069808,15.759860383944153
locomo_8,156,0.22258158508158507,0.1449286022285248,7.7652982853060255
locomo_9,156,0.2564636752136752,0.15601495726495726,10.044871794871796
