method,seed,evidence_mode,questions_valid,ANY_R3,ALL_R3,Fractional_R3
HAAR96_SIGN,43001,raw,1535,0.1551465798045603,0.11579804560260586,0.13155924531494564
HAAR96_SIGN,43001,audit,1535,0.15615635179153095,0.11273615635179154,0.12991972305653088
HAAR96_SIGN,43002,raw,1535,0.16553745928338762,0.12250814332247557,0.13893956732774412
HAAR96_SIGN,43002,audit,1535,0.16697068403908796,0.12055374592833877,0.13805874420587866
HAAR96_SIGN,43003,raw,1535,0.17081433224755704,0.12986970684039087,0.14584625219152905
HAAR96_SIGN,43003,audit,1535,0.17146579804560264,0.12576547231270357,0.14360296073813988
HAAR96_SIGN,43004,raw,1535,0.16345276872964168,0.121628664495114,0.13813078641781457
HAAR96_SIGN,43004,audit,1535,0.16270358306188926,0.11749185667752443,0.13537524120298597
HAAR96_SIGN,43005,raw,1535,0.17019543973941367,0.1262214983713355,0.14368488514742586
HAAR96_SIGN,43005,audit,1535,0.17149837133550488,0.12169381107491857,0.14158468350325026
