archive_size_quartile,questions_valid,native_fractional_R3,haar96_mean_fractional_R3,native_minus_haar_pp
1,387,0.2521825117173955,0.17303815687223417,7.914435484516124
2,355,0.2502917505030181,0.1522260228034876,9.806572769953052
3,453,0.24906181015452536,0.1398168296015978,10.924498055292755
4,340,0.18772549019607843,0.07952696078431372,10.81985294117647
