question_id,geometry,method,itq_seed,gold_mean,gold_median,non_gold_mean,non_gold_median,nearest_gold,nearest_non_gold,separation_non_gold_minus_gold_mean,gold_minus_non_gold_mean
031748ae,COSINE,FLOAT96_UNCENTERED,,0.8518280639935594,0.8518280639935594,0.05953034152627196,0.02711275559934797,0.9646101265533075,0.9335353375850268,-0.7922977224672874,0.7922977224672874
031748ae,COSINE,FLOAT96_CENTERED,,0.8405495461962782,0.8405495461962782,-0.003476054181577393,-0.027314771276362275,0.9637299098439205,0.9306162839556572,-0.8440256003778556,0.8440256003778556
06878be2,HAMMING,SIGN96_CENTERED,,44.333333333333336,45.0,48.28636363636364,49.0,42.0,32.0,3.953030303030303,
06878be2,HAMMING,ITQ96_CENTERED,101.0,48.666666666666664,49.0,48.00909090909091,49.0,45.0,13.0,-0.6575757575757564,
06878be2,HAMMING,ITQ96_CENTERED,202.0,45.666666666666664,44.0,48.08181818181818,49.0,42.0,17.0,2.415151515151514,
06878be2,HAMMING,ITQ96_CENTERED,303.0,45.0,44.0,47.913636363636364,49.0,41.0,16.0,2.913636363636364,
06878be2,HAMMING,ITQ96_CENTERED,404.0,42.0,41.0,47.92272727272727,49.0,41.0,16.0,5.922727272727272,
06878be2,HAMMING,ITQ96_CENTERED,505.0,48.0,47.0,48.10227272727273,49.0,47.0,17.0,0.10227272727272663,
06878be2,COSINE,FLOAT96_UNCENTERED,,0.16646869886329782,0.18173385964653216,0.1431889589353739,0.12639271001681354,0.21112889230926526,0.7499063754845241,-0.023279739927923926,0.023279739927923926
06878be2,COSINE,FLOAT96_CENTERED,,0.03760898590577439,0.06918768541826617,0.0004973738742721567,-0.02078267904335254,0.07026139892086507,0.7064144861329948,-0.037111612031502234,0.037111612031502234
06db6396,HAMMING,SIGN96_CENTERED,,21.0,21.0,47.536687631027256,47.0,14.0,11.0,26.536687631027256,
06db6396,HAMMING,ITQ96_CENTERED,101.0,14.5,14.5,47.683438155136265,48.0,8.0,7.0,33.183438155136265,
06db6396,HAMMING,ITQ96_CENTERED,202.0,14.0,14.0,47.740041928721176,49.0,7.0,6.0,33.740041928721176,
06db6396,HAMMING,ITQ96_CENTERED,303.0,14.5,14.5,48.19077568134172,49.0,6.0,7.0,33.69077568134172,
