method,metric,expected_frozen,observed_4c2,difference,status
FLOAT96_UNCENTERED,ANY_R3,0.6106382978723405,0.6106382978723405,0.0,PASS
FLOAT96_UNCENTERED,ALL_R3,0.2893617021276596,0.28936170212765955,-5.551115123125783e-17,PASS
FLOAT96_UNCENTERED,Fractional_R3,0.4401063829787234,0.4401063829787234,0.0,PASS
SIGN96_CENTERED,ANY_R3,0.7130851063829787,0.7130851063829787,0.0,PASS
SIGN96_CENTERED,ALL_R3,0.38457446808510637,0.38457446808510637,0.0,PASS
SIGN96_CENTERED,Fractional_R3,0.5419751773049646,0.5419751773049645,-1.1102230246251565e-16,PASS
ITQ96_CENTERED,ANY_R3,0.5427659574468086,0.5427659574468086,0.0,PASS
ITQ96_CENTERED,ALL_R3,0.22672340425531914,0.22672340425531914,0.0,PASS
ITQ96_CENTERED,Fractional_R3,0.3761411347517731,0.376141134751773,-5.551115123125783e-17,PASS
