question_id,N_archive,word_columns,char_columns,combined_columns,base_rep_fit_seconds,svd96_fit_seconds,itq96_fit_seconds_5seeds,query_transform_seconds,centered_doc_norm_min,centered_doc_norm_max,centered_query_norm
001be529,514,39940,59943,99915,2.030590664999977,5.365310540999985,1.0743902580001077,0.03918376699994042,0.808365816680071,1.0315036479053543,0.9099174048059765
00ca467f,486,38846,54711,93589,1.7730826760000582,5.788320497000086,1.4313599479999084,0.05129188000000795,0.845119955264961,0.9929307607037676,0.9736282730098011
0100672e,486,41054,57162,98248,2.0091243740000664,5.4102278020000085,1.474267553000118,0.03682750200005103,0.8263002057442187,1.004735991522814,0.9578064164281033
01493427,487,39327,56463,95822,1.2136631119999493,7.517009782999821,1.3372752669999954,0.04016463599987219,0.8674811593118451,1.0199277343851114,0.9615708511436077
031748ae,494,39940,57039,97011,1.275037846000032,7.648842003999789,1.7967673990001458,0.1642339190000257,0.853176988642233,1.0094675317422503,0.9895320437903464
06878be2,443,40797,61852,102681,1.624880501000007,6.245119322999926,1.0882531969996307,0.043736654999975144,0.8509100119321524,1.0131249792757404,0.9028247242126733
06db6396,479,39011,56009,95052,1.7890566579999359,4.37704025700009,1.0554547819999698,0.04889695099996061,0.7786846565785625,1.008210002883041,0.981437421768286
06f04340,503,40212,60496,100740,1.1288524619999407,4.728113954999799,1.2863177350000115,0.025729103000003306,0.8385152685441254,1.0119902846520576,0.9589292000966337
07741c44,513,38768,53232,92032,2.132008867999957,5.61974017600005,1.6305486499998096,0.04718270500006838,0.8089505286250018,1.015150221927341,0.9946380733786596
07741c45,527,38354,61140,99526,1.3677165010001318,5.250426295000125,2.4853807179999876,0.03636401400012801,0.8435433510899476,1.0184463792096483,0.9813197908246916
078150f1,551,39388,58586,98006,1.6669563640000433,3.9492054520001147,1.3847747539996362,0.03411331600000267,0.8507164430737393,1.008283061389037,0.9327698984618188
07b6f563,524,39414,56424,95870,1.6089880350000385,5.21003407399985,1.307539187999737,0.01663205099998777,0.836190073906121,1.0071163577056577,0.9479424205055148
0862e8bf,490,37377,58769,96178,1.115962632999981,3.910740622999924,1.185927776999847,0.032613798000056704,0.8222385061017068,1.0199696402039984,0.9757195682252694
08e075c7,484,39962,57926,97920,2.0218592359999548,5.108551000000034,1.6281489279997459,0.1289383910000197,0.7948600483772821,0.9974982892507139,0.9409536876333284
08f4fc43,480,39853,59997,99882,1.2729418710000573,5.517762888000107,0.9789294560002872,0.01851947399995879,0.8030901880991614,1.0078168150464213,0.9834836003534987
0977f2af,484,38409,55794,94235,1.1373340580000786,4.461186906999956,1.2278640459999224,0.025716914999975415,0.8532628406195271,1.0037848820789679,0.9075101767244547
099778bb,466,39683,58533,98248,1.6058770940001068,5.461219110999991,1.2862025250001352,0.05017274800002269,0.8476948967078438,1.0099282673476597,0.9875054722459163
09ba9854,479,39252,57391,96675,1.5574041169998054,5.058901535999894,1.246224742000095,0.022507988999905137,0.8562164022410829,1.020218919946158,0.9888111753271289
09d032c9,481,38072,59189,97293,1.391536085000098,3.975455525999905,1.2694574289998855,0.026503746000116735,0.8537129527494062,1.005346516974846,0.8753711931444687
0a34ad58,485,39874,55935,95841,1.5631563259998984,5.19179264499985,1.230880645999605,0.019065922999971008,0.8470802479784533,0.9954860843804049,0.9097207529717082
