question_id,method,itq_seed,N_archive,min_hamming_distance,candidates_at_min_distance,top3_boundary_distance,candidates_at_top3_boundary_distance,slots_remaining_at_boundary,top3_boundary_tie,boundary_tie_size_median,boundary_tie_size_p90,boundary_tie_size_max
01493427,ITQ96_CENTERED,202.0,487,13.0,2.0,15.0,1.0,1.0,0.0,,,
01493427,ITQ96_CENTERED,303.0,487,10.0,1.0,13.0,1.0,1.0,0.0,,,
01493427,ITQ96_CENTERED,404.0,487,13.0,1.0,14.0,3.0,2.0,1.0,,,
01493427,ITQ96_CENTERED,505.0,487,12.0,1.0,15.0,2.0,1.0,1.0,,,
031748ae,SIGN96_CENTERED,,494,7.0,1.0,22.0,1.0,1.0,0.0,,,
031748ae,ITQ96_CENTERED,101.0,494,1.0,1.0,6.0,1.0,1.0,0.0,,,
031748ae,ITQ96_CENTERED,202.0,494,1.0,2.0,2.0,1.0,1.0,0.0,,,
031748ae,ITQ96_CENTERED,303.0,494,3.0,1.0,10.0,1.0,1.0,0.0,,,
031748ae,ITQ96_CENTERED,404.0,494,1.0,2.0,5.0,1.0,1.0,0.0,,,
031748ae,ITQ96_CENTERED,505.0,494,2.0,2.0,5.0,1.0,1.0,0.0,,,
06878be2,SIGN96_CENTERED,,443,32.0,1.0,35.0,1.0,1.0,0.0,,,
06878be2,ITQ96_CENTERED,101.0,443,13.0,1.0,15.0,2.0,2.0,0.0,,,
06878be2,ITQ96_CENTERED,202.0,443,17.0,1.0,24.0,1.0,1.0,0.0,,,
06878be2,ITQ96_CENTERED,303.0,443,16.0,1.0,18.0,1.0,1.0,0.0,,,
06878be2,ITQ96_CENTERED,404.0,443,16.0,1.0,17.0,2.0,2.0,0.0,,,
06878be2,ITQ96_CENTERED,505.0,443,17.0,1.0,18.0,2.0,2.0,0.0,,,
06db6396,SIGN96_CENTERED,,479,11.0,1.0,28.0,1.0,1.0,0.0,,,
06db6396,ITQ96_CENTERED,101.0,479,7.0,1.0,16.0,1.0,1.0,0.0,,,
06db6396,ITQ96_CENTERED,202.0,479,6.0,1.0,16.0,1.0,1.0,0.0,,,
06db6396,ITQ96_CENTERED,303.0,479,6.0,1.0,19.0,1.0,1.0,0.0,,,
06db6396,ITQ96_CENTERED,404.0,479,4.0,1.0,14.0,1.0,1.0,0.0,,,
06db6396,ITQ96_CENTERED,505.0,479,5.0,1.0,13.0,1.0,1.0,0.0,,,
06f04340,SIGN96_CENTERED,,503,27.0,1.0,31.0,2.0,1.0,1.0,,,
06f04340,ITQ96_CENTERED,101.0,503,11.0,1.0,15.0,1.0,1.0,0.0,,,
06f04340,ITQ96_CENTERED,202.0,503,11.0,5.0,11.0,5.0,3.0,1.0,,,
06f04340,ITQ96_CENTERED,303.0,503,9.0,1.0,11.0,2.0,1.0,1.0,,,
06f04340,ITQ96_CENTERED,404.0,503,11.0,3.0,11.0,3.0,3.0,0.0,,,
06f04340,ITQ96_CENTERED,505.0,503,5.0,1.0,10.0,1.0,1.0,0.0,,,
07741c44,SIGN96_CENTERED,,513,23.0,2.0,24.0,1.0,1.0,0.0,,,
07741c44,ITQ96_CENTERED,101.0,513,13.0,1.0,20.0,2.0,1.0,1.0,,,
07741c44,ITQ96_CENTERED,202.0,513,15.0,1.0,19.0,3.0,1.0,1.0,,,
07741c44,ITQ96_CENTERED,303.0,513,17.0,1.0,20.0,1.0,1.0,0.0,,,
