question_id,itq_seed,N_archive,spearman_sign_hamming_vs_itq_hamming,sign_distance_mean,itq_distance_mean,spearman_median,spearman_min,spearman_max
001be529,101,514,0.21408380661514687,48.11089494163424,48.19844357976654,,,
001be529,202,514,0.28433615527500467,48.11089494163424,47.96498054474708,,,
001be529,303,514,0.21977746856199648,48.11089494163424,48.10505836575876,,,
001be529,404,514,0.127903289320322,48.11089494163424,47.824902723735406,,,
001be529,505,514,0.2658212510567973,48.11089494163424,47.675097276264594,,,
00ca467f,101,486,0.21266049808216247,47.32304526748971,47.91975308641975,,,
00ca467f,202,486,0.26623862604213056,47.32304526748971,47.88065843621399,,,
00ca467f,303,486,0.21945675488439323,47.32304526748971,47.89917695473251,,,
00ca467f,404,486,0.17290333738360641,47.32304526748971,47.97942386831276,,,
00ca467f,505,486,0.2595895383378047,47.32304526748971,47.56172839506173,,,
0100672e,101,486,0.1690404215637086,47.751028806584365,48.01851851851852,,,
0100672e,202,486,0.31241870388227855,47.751028806584365,47.8559670781893,,,
0100672e,303,486,0.28988118355960013,47.751028806584365,47.81069958847737,,,
0100672e,404,486,0.17778086389949269,47.751028806584365,48.01234567901235,,,
0100672e,505,486,0.27692919066483335,47.751028806584365,48.00205761316872,,,
01493427,101,487,0.023072917289994634,47.80492813141684,47.889117043121146,,,
01493427,202,487,-0.0065472061945253965,47.80492813141684,47.92813141683778,,,
01493427,303,487,0.024899781205437302,47.80492813141684,47.91991786447639,,,
01493427,404,487,0.1620845183702563,47.80492813141684,48.252566735112936,,,
01493427,505,487,0.1511145950624666,47.80492813141684,47.831622176591374,,,
031748ae,101,494,0.08734904682450427,47.85222672064777,47.983805668016196,,,
031748ae,202,494,0.0749738286282098,47.85222672064777,47.85425101214575,,,
031748ae,303,494,0.09641465395445638,47.85222672064777,47.86032388663968,,,
031748ae,404,494,0.18430911440337883,47.85222672064777,47.92307692307692,,,
031748ae,505,494,0.17318726816332547,47.85222672064777,48.0668016194332,,,
06878be2,101,443,0.2889042955690326,48.25959367945824,48.01354401805869,,,
06878be2,202,443,0.27989538378244333,48.25959367945824,48.065462753950335,,,
06878be2,303,443,0.30711065018505596,48.25959367945824,47.893905191873586,,,
06878be2,404,443,0.26862386445167824,48.25959367945824,47.88261851015801,,,
06878be2,505,443,0.2751817559840845,48.25959367945824,48.10158013544018,,,
06db6396,101,479,0.051776132678306684,47.4258872651357,47.544885177453025,,,
06db6396,202,479,0.052463623021074816,47.4258872651357,47.59916492693111,,,
06db6396,303,479,0.023290979402675924,47.4258872651357,48.05010438413361,,,
06db6396,404,479,0.11180954384229405,47.4258872651357,48.05427974947808,,,
06db6396,505,479,0.10738048264917623,47.4258872651357,48.085594989561585,,,
06f04340,101,503,0.1923542621105641,47.20278330019881,48.12326043737575,,,
06f04340,202,503,0.09726346109973417,47.20278330019881,47.813121272365805,,,
06f04340,303,503,0.13337828198817037,47.20278330019881,47.91451292246521,,,
06f04340,404,503,0.1132715617669697,47.20278330019881,47.912524850894634,,,
06f04340,505,503,0.15448844605161327,47.20278330019881,47.96819085487078,,,
07741c44,101,513,0.09751356058930137,48.06432748538012,48.06237816764133,,,
07741c44,202,513,0.009460952032668305,48.06432748538012,47.6588693957115,,,
07741c44,303,513,0.12836547465276496,48.06432748538012,48.007797270955166,,,
07741c44,404,513,0.1017896123555204,48.06432748538012,48.019493177387915,,,
07741c44,505,513,0.15169424493740136,48.06432748538012,47.72319688109162,,,
07741c45,101,527,0.171922879246428,48.110056925996204,48.15180265654649,,,
07741c45,202,527,0.19753100256781858,48.110056925996204,47.95445920303605,,,
07741c45,303,527,0.09994010614056661,48.110056925996204,48.01897533206831,,,
07741c45,404,527,0.22888766186342102,48.110056925996204,47.98671726755218,,,
07741c45,505,527,0.16083811312969842,48.110056925996204,47.584440227703986,,,
078150f1,101,551,0.3457831094711302,48.01814882032668,47.98548094373866,,,
078150f1,202,551,0.35611875956193967,48.01814882032668,47.79491833030853,,,
078150f1,303,551,0.30727368187984366,48.01814882032668,48.04174228675136,,,
078150f1,404,551,0.35158349087132085,48.01814882032668,47.8021778584392,,,
078150f1,505,551,0.19641500087669742,48.01814882032668,48.225045372050815,,,
07b6f563,101,524,0.1816524855089109,47.79007633587786,48.22328244274809,,,
07b6f563,202,524,0.2495139435789483,47.79007633587786,48.045801526717554,,,
07b6f563,303,524,0.32092230557629947,47.79007633587786,48.23664122137404,,,
07b6f563,404,524,0.23353198486052726,47.79007633587786,48.036259541984734,,,
07b6f563,505,524,0.25175626797162093,47.79007633587786,48.091603053435115,,,
0862e8bf,101,490,0.11858562069045854,48.23877551020408,47.78163265306122,,,
0862e8bf,202,490,0.11174379187834975,48.23877551020408,47.96938775510204,,,
0862e8bf,303,490,0.06548085948138815,48.23877551020408,47.75918367346939,,,
0862e8bf,404,490,0.1981755457875572,48.23877551020408,47.679591836734694,,,
0862e8bf,505,490,0.07687057285973199,48.23877551020408,48.14693877551021,,,
08e075c7,101,484,0.2149366407214598,48.18801652892562,48.247933884297524,,,
08e075c7,202,484,0.09278406437045472,48.18801652892562,48.09504132231405,,,
08e075c7,303,484,0.09010913857129041,48.18801652892562,47.997933884297524,,,
08e075c7,404,484,0.10047605104309631,48.18801652892562,47.99586776859504,,,
08e075c7,505,484,0.06355030366145215,48.18801652892562,48.19214876033058,,,
08f4fc43,101,480,0.1134371826945824,47.93958333333333,47.947916666666664,,,
08f4fc43,202,480,0.13816670059757427,47.93958333333333,48.14375,,,
08f4fc43,303,480,0.13105690664962838,47.93958333333333,48.19166666666667,,,
08f4fc43,404,480,0.17907882157507432,47.93958333333333,48.03333333333333,,,
08f4fc43,505,480,0.11946393068429635,47.93958333333333,47.860416666666666,,,
0977f2af,101,484,0.23037683735433734,48.20454545454545,48.09297520661157,,,
0977f2af,202,484,0.27362915054882503,48.20454545454545,47.892561983471076,,,
0977f2af,303,484,0.24254415591761783,48.20454545454545,48.12809917355372,,,
0977f2af,404,484,0.2856962507589395,48.20454545454545,48.11776859504132,,,
0977f2af,505,484,0.2832178975068417,48.20454545454545,47.71694214876033,,,
099778bb,101,466,0.06966697590272404,48.291845493562235,47.81974248927039,,,
099778bb,202,466,0.161177875560398,48.291845493562235,48.2038626609442,,,
099778bb,303,466,0.05152480228930842,48.291845493562235,48.22961373390558,,,
099778bb,404,466,0.10034743505235734,48.291845493562235,47.71030042918455,,,
099778bb,505,466,0.1375983326834021,48.291845493562235,47.75107296137339,,,
09ba9854,101,479,0.08566800462014593,47.56367432150313,48.09812108559499,,,
09ba9854,202,479,0.09754328745740293,47.56367432150313,47.94363256784969,,,
09ba9854,303,479,0.10775831361016552,47.56367432150313,48.08768267223382,,,
09ba9854,404,479,0.12191452589330387,47.56367432150313,48.15240083507307,,,
09ba9854,505,479,0.1918388042701841,47.56367432150313,47.75991649269311,,,
09d032c9,101,481,0.1910677769665275,47.88149688149688,47.893970893970895,,,
09d032c9,202,481,0.2692565153527161,47.88149688149688,48.20790020790021,,,
09d032c9,303,481,0.3113842041721139,47.88149688149688,48.04573804573805,,,
09d032c9,404,481,0.2772743391234074,47.88149688149688,47.83575883575884,,,
09d032c9,505,481,0.2935889019239346,47.88149688149688,47.972972972972975,,,
0a34ad58,101,485,0.2416415052680885,47.76494845360825,48.14639175257732,,,
0a34ad58,202,485,0.30473862110192884,47.76494845360825,48.00206185567011,,,
0a34ad58,303,485,0.21258943636746946,47.76494845360825,48.05154639175258,,,
0a34ad58,404,485,0.30391816150791257,47.76494845360825,48.11340206185567,,,
0a34ad58,505,485,0.2644403253559459,47.76494845360825,48.06185567010309,,,
0a995998,101,484,0.2148996357522608,47.611570247933884,47.92768595041322,,,
0a995998,202,484,0.05836670697684317,47.611570247933884,47.84297520661157,,,
0a995998,303,484,0.13129049800578216,47.611570247933884,47.921487603305785,,,
0a995998,404,484,0.09105935451793297,47.611570247933884,48.26652892561984,,,
0a995998,505,484,0.1492050709697265,47.611570247933884,47.917355371900825,,,
0bb5a684,101,463,0.08296108250364853,47.70194384449244,48.13390928725702,,,
0bb5a684,202,463,0.03577755435550852,47.70194384449244,47.9719222462203,,,
0bb5a684,303,463,0.050198761260952185,47.70194384449244,47.885529157667385,,,
0bb5a684,404,463,0.039300268902772814,47.70194384449244,48.043196544276455,,,
0bb5a684,505,463,0.06607354385063145,47.70194384449244,47.70194384449244,,,
0bc8ad92,101,443,0.243583830120038,48.43115124153499,47.747178329571106,,,
0bc8ad92,202,443,0.20969622358588993,48.43115124153499,47.81489841986456,,,
0bc8ad92,303,443,0.16323337361522527,48.43115124153499,47.75620767494357,,,
0bc8ad92,404,443,0.17166297720205997,48.43115124153499,47.8058690744921,,,
0bc8ad92,505,443,0.098377726611936,48.43115124153499,48.011286681715575,,,
0bc8ad93,101,486,0.13064252936042453,48.09670781893004,48.09465020576132,,,
0bc8ad93,202,486,0.1513636800791655,48.09670781893004,48.1522633744856,,,
0bc8ad93,303,486,0.0950436267712197,48.09670781893004,48.04320987654321,,,
0bc8ad93,404,486,0.12044711015543356,48.09670781893004,48.047325102880656,,,
0bc8ad93,505,486,0.16808617001349452,48.09670781893004,47.81687242798354,,,
0db4c65d,101,462,0.1946211336493644,47.79220779220779,47.83549783549783,,,
0db4c65d,202,462,-0.007816852476033457,47.79220779220779,47.874458874458874,,,
0db4c65d,303,462,0.23669824788120034,47.79220779220779,47.833333333333336,,,
0db4c65d,404,462,0.061678824853641755,47.79220779220779,47.68614718614719,,,
0db4c65d,505,462,0.25619705325182435,47.79220779220779,47.74242424242424,,,
0ddfec37,101,483,0.054541101472936754,47.32298136645963,47.94824016563147,,,
0ddfec37,202,483,0.10820138464465054,47.32298136645963,47.87577639751553,,,
0ddfec37,303,483,0.09530128098541772,47.32298136645963,48.47412008281574,,,
0ddfec37,404,483,0.10529805433401614,47.32298136645963,47.87163561076605,,,
0ddfec37,505,483,0.09036917254256255,47.32298136645963,48.13457556935818,,,
0e4e4c46,101,481,0.1292515804862413,47.983367983367984,48.03534303534303,,,
0e4e4c46,202,481,0.1608017298037983,47.983367983367984,47.7962577962578,,,
0e4e4c46,303,481,0.21852959169063324,47.983367983367984,47.81912681912682,,,
0e4e4c46,404,481,0.05524356441712804,47.983367983367984,47.95426195426195,,,
0e4e4c46,505,481,0.22274059874928212,47.983367983367984,47.80873180873181,,,
0e5e2d1a,101,450,0.18362121804261233,47.62222222222222,47.95111111111111,,,
0e5e2d1a,202,450,0.06710673027796621,47.62222222222222,47.971111111111114,,,
0e5e2d1a,303,450,0.11481615445938342,47.62222222222222,48.02444444444444,,,
0e5e2d1a,404,450,-0.05294557999160224,47.62222222222222,48.297777777777775,,,
0e5e2d1a,505,450,0.04231170187026628,47.62222222222222,47.888888888888886,,,
0ea62687,101,460,0.14856525857818248,47.721739130434784,48.13695652173913,,,
0ea62687,202,460,0.17676769439093834,47.721739130434784,47.97391304347826,,,
0ea62687,303,460,0.05621715365994362,47.721739130434784,48.208695652173915,,,
0ea62687,404,460,0.16145939859226893,47.721739130434784,47.97826086956522,,,
0ea62687,505,460,0.11164294729823714,47.721739130434784,47.969565217391306,,,
0edc2aef,101,475,0.21112517716385357,47.69894736842105,47.95578947368421,,,
0edc2aef,202,475,0.21321985610763364,47.69894736842105,47.741052631578945,,,
0edc2aef,303,475,0.1656186763242269,47.69894736842105,47.86526315789474,,,
0edc2aef,404,475,0.22183592671182412,47.69894736842105,48.1178947368421,,,
0edc2aef,505,475,0.19811416727396344,47.69894736842105,47.98947368421052,,,
0f05491a,101,489,0.18013083171842373,47.58895705521472,47.8118609406953,,,
0f05491a,202,489,0.015542793364541545,47.58895705521472,47.84049079754601,,,
0f05491a,303,489,0.11722508044353736,47.58895705521472,48.32719836400818,,,
0f05491a,404,489,0.03199494550759906,47.58895705521472,47.84662576687116,,,
0f05491a,505,489,0.13253983605980224,47.58895705521472,48.13087934560327,,,
10d9b85a,101,466,0.26898333565336713,48.223175965665234,48.072961373390555,,,
10d9b85a,202,466,0.3107707579656836,48.223175965665234,47.81330472103004,,,
10d9b85a,303,466,0.3644492915987248,48.223175965665234,48.081545064377686,,,
10d9b85a,404,466,0.2841663319176211,48.223175965665234,48.182403433476395,,,
10d9b85a,505,466,0.2707200889275155,48.223175965665234,47.896995708154506,,,
10e09553,101,472,0.21165099584968367,47.55084745762712,48.07627118644068,,,
10e09553,202,472,0.13444341196787346,47.55084745762712,48.139830508474574,,,
10e09553,303,472,0.17840415915931168,47.55084745762712,48.141949152542374,,,
10e09553,404,472,0.06140946325405151,47.55084745762712,47.92796610169491,,,
10e09553,505,472,0.10792600063416771,47.55084745762712,47.91737288135593,,,
118b2229,101,485,0.2087674450235219,47.65979381443299,48.24948453608248,,,
118b2229,202,485,0.24800526618554886,47.65979381443299,47.83711340206185,,,
118b2229,303,485,0.28067123995573967,47.65979381443299,48.035051546391756,,,
118b2229,404,485,0.26427147405161167,47.65979381443299,47.34226804123711,,,
118b2229,505,485,0.19385622866404506,47.65979381443299,47.608247422680414,,,
1192316e,101,467,0.24945682411133624,47.940042826552464,48.02997858672377,,,
1192316e,202,467,0.2669157215012291,47.940042826552464,47.805139186295506,,,
1192316e,303,467,0.26227915235677346,47.940042826552464,47.91434689507495,,,
1192316e,404,467,0.1984360351225616,47.940042826552464,47.92077087794433,,,
1192316e,505,467,0.3068983958897408,47.940042826552464,48.12419700214133,,,
129d1232,101,451,0.21474957428889666,48.248337028824835,47.89578713968958,,,
129d1232,202,451,0.20735090594227462,48.248337028824835,47.933481152993345,,,
129d1232,303,451,0.28909715163684396,48.248337028824835,48.29711751662971,,,
129d1232,404,451,0.29977743296372517,48.248337028824835,48.09534368070953,,,
