question_id,method,itq_seed,N_archive,unique_document_codes,unique_document_code_fraction,duplicate_code_fraction,largest_collision_bucket,query_exact_code_match_count,query_exact_code_match_fraction
07741c44,ITQ96_CENTERED,303.0,513,459.0,0.8947368421052632,0.10526315789473684,3,0.0,0.0
07741c44,ITQ96_CENTERED,404.0,513,462.0,0.9005847953216374,0.09941520467836262,3,0.0,0.0
07741c44,ITQ96_CENTERED,505.0,513,454.0,0.884990253411306,0.115009746588694,4,0.0,0.0
07741c45,SIGN96_CENTERED,,527,520.0,0.9867172675521821,0.013282732447817858,4,0.0,0.0
07741c45,ITQ96_CENTERED,101.0,527,450.0,0.8538899430740038,0.1461100569259962,5,0.0,0.0
07741c45,ITQ96_CENTERED,202.0,527,435.0,0.825426944971537,0.174573055028463,7,0.0,0.0
07741c45,ITQ96_CENTERED,303.0,527,451.0,0.855787476280835,0.14421252371916504,5,0.0,0.0
07741c45,ITQ96_CENTERED,404.0,527,440.0,0.8349146110056926,0.16508538899430736,5,0.0,0.0
07741c45,ITQ96_CENTERED,505.0,527,445.0,0.8444022770398482,0.15559772296015184,5,0.0,0.0
078150f1,SIGN96_CENTERED,,551,548.0,0.9945553539019963,0.005444646098003658,2,0.0,0.0
078150f1,ITQ96_CENTERED,101.0,551,473.0,0.8584392014519057,0.14156079854809434,6,0.0,0.0
078150f1,ITQ96_CENTERED,202.0,551,477.0,0.8656987295825771,0.1343012704174229,5,0.0,0.0
078150f1,ITQ96_CENTERED,303.0,551,485.0,0.8802177858439202,0.11978221415607981,5,0.0,0.0
078150f1,ITQ96_CENTERED,404.0,551,473.0,0.8584392014519057,0.14156079854809434,5,0.0,0.0
078150f1,ITQ96_CENTERED,505.0,551,475.0,0.8620689655172413,0.13793103448275867,5,0.0,0.0
07b6f563,SIGN96_CENTERED,,524,521.0,0.9942748091603053,0.005725190839694694,3,0.0,0.0
07b6f563,ITQ96_CENTERED,101.0,524,468.0,0.8931297709923665,0.10687022900763354,9,0.0,0.0
07b6f563,ITQ96_CENTERED,202.0,524,457.0,0.8721374045801527,0.12786259541984735,9,0.0,0.0
07b6f563,ITQ96_CENTERED,303.0,524,452.0,0.8625954198473282,0.13740458015267176,7,0.0,0.0
07b6f563,ITQ96_CENTERED,404.0,524,457.0,0.8721374045801527,0.12786259541984735,9,0.0,0.0
07b6f563,ITQ96_CENTERED,505.0,524,449.0,0.8568702290076335,0.14312977099236646,7,0.0,0.0
0862e8bf,SIGN96_CENTERED,,490,489.0,0.9979591836734694,0.0020408163265306367,2,0.0,0.0
0862e8bf,ITQ96_CENTERED,101.0,490,412.0,0.8408163265306122,0.15918367346938778,8,0.0,0.0
0862e8bf,ITQ96_CENTERED,202.0,490,410.0,0.8367346938775511,0.16326530612244894,7,0.0,0.0
0862e8bf,ITQ96_CENTERED,303.0,490,409.0,0.8346938775510204,0.16530612244897958,8,0.0,0.0
0862e8bf,ITQ96_CENTERED,404.0,490,405.0,0.826530612244898,0.173469387755102,7,0.0,0.0
0862e8bf,ITQ96_CENTERED,505.0,490,413.0,0.8428571428571429,0.15714285714285714,6,0.0,0.0
08e075c7,SIGN96_CENTERED,,484,482.0,0.9958677685950413,0.004132231404958664,3,0.0,0.0
08e075c7,ITQ96_CENTERED,101.0,484,419.0,0.8657024793388429,0.13429752066115708,7,0.0,0.0
08e075c7,ITQ96_CENTERED,202.0,484,428.0,0.8842975206611571,0.11570247933884292,7,0.0,0.0
