method,itq_seed,bit_index,positive_fraction,mean_occupancy,min_occupancy,max_occupancy,dead_constant_bit_count,mean_abs_deviation_from_0_5
SIGN96_CENTERED,,0,0.4493320553008126,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,1,0.47120109150885553,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,2,0.49497854114314827,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,3,0.4896980216401993,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,4,0.49542326191894853,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,5,0.48486654059048556,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,6,0.4916064350664491,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,7,0.48837249466766836,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,8,0.4914294102916159,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,9,0.49065654603075914,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,10,0.49443451378634407,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,11,0.49782820825021806,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,12,0.49700784953757676,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,13,0.49398115765567385,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,14,0.4947583395939656,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,15,0.49680923637556884,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,16,0.4985363073495505,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,17,0.49548370940303793,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,18,0.49579889985578957,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,19,0.49822975225166877,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,20,0.4996114090308541,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,21,0.4960665958567567,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,22,0.49763823044308003,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
