bench,archive,arm,scorer,n,hit10_pct,fr3_pct,hit3_pct,exp_hit10_pct,loss_init,loss_final,haar_init,haar_final
PerLTQA,Cai Xiuying,FULL,sym,409,72.37163814180929,48.15900456990634,57.701711491442545,72.73964761128576,,,,
PerLTQA,Cai Xiuying,FULL,qscale,409,79.21760391198043,53.94520129023221,65.28117359413203,79.21760391198043,,,,
PerLTQA,Cai Xiuying,ITQ_20260916,sym,409,73.34963325183375,42.396712425117435,47.92176039119804,73.2885085574572,37671.676192635554,36830.220711728936,0.8549309230354837,0.8358347111412704
PerLTQA,Cai Xiuying,ITQ_20260916,qscale,409,77.26161369193154,47.66030987086646,53.789731051344745,77.26161369193154,37671.676192635554,36830.220711728936,0.8549309230354837,0.8358347111412704
PerLTQA,Cai Xiuying,RAND_20260916,sym,409,72.6161369193154,44.221050953936036,51.83374083129584,72.44461732236793,,,,
PerLTQA,Cai Xiuying,RAND_20260916,qscale,409,77.26161369193154,46.70644283724968,53.0562347188264,77.26161369193154,,,,
PerLTQA,Cai Xiuying,ITQ_20260917,sym,409,74.57212713936431,47.33638698581888,54.76772616136919,74.095460366854,37700.014825263745,36825.49965470031,0.8555740474143007,0.8357275702319424
PerLTQA,Cai Xiuying,ITQ_20260917,qscale,409,77.50611246943765,52.087613754160564,59.168704156479215,77.50611246943765,37700.014825263745,36825.49965470031,0.8555740474143007,0.8357275702319424
PerLTQA,Cai Xiuying,RAND_20260917,sym,409,72.6161369193154,43.69325560340231,49.38875305623472,73.79205961113053,,,,
PerLTQA,Cai Xiuying,RAND_20260917,qscale,409,79.46210268948656,46.19492976461191,52.567237163814184,79.46210268948656,,,,
PerLTQA,Cai Xiuying,ITQ_20260918,sym,409,71.14914425427872,45.27093138735596,51.34474327628362,71.16612333604999,37695.567562653174,36832.5892874007,0.855473120067474,0.835888464220241
PerLTQA,Cai Xiuying,ITQ_20260918,qscale,409,74.57212713936431,47.33633226801643,53.30073349633252,74.57212713936431,37695.567562653174,36832.5892874007,0.855473120067474,0.835888464220241
PerLTQA,Cai Xiuying,RAND_20260918,sym,409,72.86063569682152,48.60708721739931,55.74572127139364,72.76283618581908,,,,
PerLTQA,Cai Xiuying,RAND_20260918,qscale,409,75.55012224938875,53.20343853854569,59.41320293398533,75.55012224938875,,,,
PerLTQA,Cai Xiuying,ITQ_7,sym,409,72.37163814180929,47.96542902899871,54.034229828850854,72.15566422167889,37705.28302013065,36825.434729474175,0.8556936052135677,0.8357260968017922
PerLTQA,Cai Xiuying,ITQ_7,qscale,409,77.01711491442543,51.13543760440783,57.94621026894865,77.01711491442543,37705.28302013065,36825.434729474175,0.8556936052135677,0.8357260968017922
PerLTQA,Cai Xiuying,RAND_7,sym,409,72.37163814180929,44.68514981351167,50.8557457212714,71.59331703341485,,,,
PerLTQA,Cai Xiuying,RAND_7,qscale,409,78.4841075794621,49.7994484780764,56.47921760391198,78.4841075794621,,,,
