seed,method,Fractional_R3,native_minus_intervention_pp
55001,WITHIN_SPECTRAL_BAND_HAAR,0.5301950354609929,1.1780141843971692
55001,HAAR_HIGH_MID64,0.49458156028368794,4.739361702127665
55001,HAAR_HIGH_LOW64,0.45095744680851063,9.101773049645395
55001,HAAR_MID_LOW64,0.5183262411347518,2.3648936170212798
55002,WITHIN_SPECTRAL_BAND_HAAR,0.5144609929078013,2.7514184397163244
55002,HAAR_HIGH_MID64,0.5008510638297872,4.1124113475177415
55002,HAAR_HIGH_LOW64,0.43818085106382976,10.379432624113482
55002,HAAR_MID_LOW64,0.5169804964539008,2.499468085106382
55003,WITHIN_SPECTRAL_BAND_HAAR,0.5152553191489362,2.6719858156028398
55003,HAAR_HIGH_MID64,0.49038120567375876,5.159397163120582
55003,HAAR_HIGH_LOW64,0.4599645390070922,8.201063829787236
55003,HAAR_MID_LOW64,0.5125531914893617,2.9421985815602847
55004,WITHIN_SPECTRAL_BAND_HAAR,0.5178049645390072,2.4170212765957433
55004,HAAR_HIGH_MID64,0.4923936170212766,4.958156028368799
55004,HAAR_HIGH_LOW64,0.45575354609929075,8.622163120567382
55004,HAAR_MID_LOW64,0.5058705673758865,3.6104609929078046
55005,WITHIN_SPECTRAL_BAND_HAAR,0.518427304964539,2.3547872340425546
55005,HAAR_HIGH_MID64,0.4837854609929078,5.818971631205677
55005,HAAR_HIGH_LOW64,0.4500017730496454,9.19734042553192
55005,HAAR_MID_LOW64,0.515540780141844,2.643439716312057
