seed,band,Fractional_R3
55001,High32,0.24588475177304964
55001,Mid32,0.31564184397163125
55001,Low32,0.31154787234042547
55001,HighMid64,0.40912234042553197
55001,HighLow64,0.488459219858156
55001,MidLow64,0.47438829787234044
55001,Full96,0.5301950354609929
55002,High32,0.24383687943262408
55002,Mid32,0.3316152482269503
55002,Low32,0.31356205673758863
55002,HighMid64,0.4294237588652482
55002,HighLow64,0.4719787234042553
55002,MidLow64,0.4797553191489362
55002,Full96,0.5144609929078013
55003,High32,0.23652482269503544
55003,Mid32,0.3361312056737589
55003,Low32,0.3324734042553191
55003,HighMid64,0.4183971631205674
55003,HighLow64,0.47181028368794325
55003,MidLow64,0.47998404255319144
55003,Full96,0.5152553191489362
55004,High32,0.2281631205673759
55004,Mid32,0.33947872340425533
55004,Low32,0.3401507092198582
55004,HighMid64,0.3959875886524823
55004,HighLow64,0.47543262411347514
55004,MidLow64,0.4883014184397163
55004,Full96,0.5178049645390072
55005,High32,0.226709219858156
55005,Mid32,0.3293085106382978
55005,Low32,0.33201773049645394
55005,HighMid64,0.41462765957446807
55005,HighLow64,0.4867251773049645
55005,MidLow64,0.48034042553191486
55005,Full96,0.518427304964539
