method,evidence_mode,questions_valid,ANY_R3,ALL_R3,Fractional_R3
NATIVE_SIGN96,raw,1535,0.2737133550488599,0.21143322475570034,0.2374937885133325
HAAR96_SIGN_MEAN,raw,1535,0.16502931596091205,0.12320521172638436,0.13963214727989187
ITQ96_CENTERED_MEAN,raw,1535,0.1698045602605863,0.12741368078175896,0.14428385562080867
NATIVE_SIGN96,audit,1535,0.276156351791531,0.2075244299674267,0.23654714666441054
HAAR96_SIGN_MEAN,audit,1535,0.16575895765472312,0.11964820846905537,0.13770827054135715
ITQ96_CENTERED_MEAN,audit,1535,0.17018892508143324,0.12385016286644952,0.14220856478786312
