conv_id,question_id,method,seed,spearman_hamming_distance_vs_native,mean_top3_overlap_vs_native
locomo_0,locomo_0_qa5,HAAR96_SIGN,43003.0,0.2452261182122446,0.0
locomo_0,locomo_0_qa5,HAAR96_SIGN,43004.0,0.24731626141544535,0.0
locomo_0,locomo_0_qa5,HAAR96_SIGN,43005.0,0.2546019367853198,0.0
locomo_0,locomo_0_qa5,ITQ96_CENTERED,101.0,0.17553909674329843,0.33333333333333326
locomo_0,locomo_0_qa5,ITQ96_CENTERED,202.0,0.3372125233818284,0.0
locomo_0,locomo_0_qa5,ITQ96_CENTERED,303.0,0.19971407297737023,0.0
locomo_0,locomo_0_qa5,ITQ96_CENTERED,404.0,0.3021971084279828,0.0
locomo_0,locomo_0_qa5,ITQ96_CENTERED,505.0,0.267021251987639,0.0
locomo_0,locomo_0_qa6,NATIVE_SIGN96,,1.0,1.0
locomo_0,locomo_0_qa6,HAAR96_SIGN,43001.0,0.2916920974853717,0.16666666666666669
locomo_0,locomo_0_qa6,HAAR96_SIGN,43002.0,0.32456314225046545,0.33333333333333326
locomo_0,locomo_0_qa6,HAAR96_SIGN,43003.0,0.28956064384674174,0.0
locomo_0,locomo_0_qa6,HAAR96_SIGN,43004.0,0.3313144335604266,0.33333333333333326
locomo_0,locomo_0_qa6,HAAR96_SIGN,43005.0,0.3086762150259512,0.33333333333333326
locomo_0,locomo_0_qa6,ITQ96_CENTERED,101.0,0.27936870085929566,0.33333333333333326
locomo_0,locomo_0_qa6,ITQ96_CENTERED,202.0,0.3104347265514774,0.33333333333333326
locomo_0,locomo_0_qa6,ITQ96_CENTERED,303.0,0.29054348776780964,0.0
locomo_0,locomo_0_qa6,ITQ96_CENTERED,404.0,0.3673472615170166,0.33333333333333326
locomo_0,locomo_0_qa6,ITQ96_CENTERED,505.0,0.2955979471455248,0.16666666666666669
locomo_0,locomo_0_qa7,NATIVE_SIGN96,,1.0,1.0
locomo_0,locomo_0_qa7,HAAR96_SIGN,43001.0,0.3131541838255947,0.33333333333333326
locomo_0,locomo_0_qa7,HAAR96_SIGN,43002.0,0.15924177020140678,0.0
locomo_0,locomo_0_qa7,HAAR96_SIGN,43003.0,0.2474085507367247,0.0
locomo_0,locomo_0_qa7,HAAR96_SIGN,43004.0,0.2161169920713408,0.0
locomo_0,locomo_0_qa7,HAAR96_SIGN,43005.0,0.2038877167559306,0.0
locomo_0,locomo_0_qa7,ITQ96_CENTERED,101.0,0.33598112164739086,0.0
locomo_0,locomo_0_qa7,ITQ96_CENTERED,202.0,0.22329406328991697,0.0
locomo_0,locomo_0_qa7,ITQ96_CENTERED,303.0,0.27637954712487345,0.11666666666666665
locomo_0,locomo_0_qa7,ITQ96_CENTERED,404.0,0.24747193863292422,0.0
locomo_0,locomo_0_qa7,ITQ96_CENTERED,505.0,0.26728837746962186,0.13333333333333336
locomo_0,locomo_0_qa8,NATIVE_SIGN96,,1.0,1.0
locomo_0,locomo_0_qa8,HAAR96_SIGN,43001.0,0.16684969309794298,0.33333333333333326
locomo_0,locomo_0_qa8,HAAR96_SIGN,43002.0,0.25827092608990965,0.33333333333333326
locomo_0,locomo_0_qa8,HAAR96_SIGN,43003.0,0.13625307393440073,0.33333333333333326
locomo_0,locomo_0_qa8,HAAR96_SIGN,43004.0,0.15568977047540564,0.33333333333333326
locomo_0,locomo_0_qa8,HAAR96_SIGN,43005.0,0.15774627768764532,0.4166666666666667
locomo_0,locomo_0_qa8,ITQ96_CENTERED,101.0,0.1202045459207437,0.31666666666666665
locomo_0,locomo_0_qa8,ITQ96_CENTERED,202.0,0.09156359556524654,0.33333333333333326
locomo_0,locomo_0_qa8,ITQ96_CENTERED,303.0,0.11749332217001751,0.33333333333333326
locomo_0,locomo_0_qa8,ITQ96_CENTERED,404.0,0.15865318323547936,0.33333333333333326
locomo_0,locomo_0_qa8,ITQ96_CENTERED,505.0,0.07831142552414085,0.33333333333333326
locomo_0,locomo_0_qa9,NATIVE_SIGN96,,1.0,1.0
locomo_0,locomo_0_qa9,HAAR96_SIGN,43001.0,0.279752388047368,0.5166666666666665
locomo_0,locomo_0_qa9,HAAR96_SIGN,43002.0,0.24120071653616862,0.33333333333333326
locomo_0,locomo_0_qa9,HAAR96_SIGN,43003.0,0.26815188289113284,0.33333333333333326
locomo_0,locomo_0_qa9,HAAR96_SIGN,43004.0,0.2880260568027918,0.5166666666666665
locomo_0,locomo_0_qa9,HAAR96_SIGN,43005.0,0.33085645463648955,0.33333333333333326
locomo_0,locomo_0_qa9,ITQ96_CENTERED,101.0,0.3375076376882408,0.5166666666666665
locomo_0,locomo_0_qa9,ITQ96_CENTERED,202.0,0.2670106087203986,0.33333333333333326
locomo_0,locomo_0_qa9,ITQ96_CENTERED,303.0,0.277317584366874,0.5166666666666665
locomo_0,locomo_0_qa9,ITQ96_CENTERED,404.0,0.3072743314924793,0.33333333333333326
locomo_0,locomo_0_qa9,ITQ96_CENTERED,505.0,0.2842196158261554,0.33333333333333326
locomo_0,locomo_0_qa10,NATIVE_SIGN96,,1.0,1.0
locomo_0,locomo_0_qa10,HAAR96_SIGN,43001.0,0.2230681092810358,0.0
locomo_0,locomo_0_qa10,HAAR96_SIGN,43002.0,0.2242497348575042,0.5333333333333332
locomo_0,locomo_0_qa10,HAAR96_SIGN,43003.0,0.3595977409484044,0.0
locomo_0,locomo_0_qa10,HAAR96_SIGN,43004.0,0.22365450700333944,0.0
locomo_0,locomo_0_qa10,HAAR96_SIGN,43005.0,0.18888495893257223,0.33333333333333326
locomo_0,locomo_0_qa10,ITQ96_CENTERED,101.0,0.27312515055713354,0.0
