replicate,n_questions,A_full,A_block,A_I,B_full,B_block,B_I,den_full_min,den_full_max,den_block_min,den_block_max,den_full_mean,den_block_mean
1,1711,0.69911206234903334,1.8592418037584177,-1.1601297414093845,0.69938615086331435,0.3693215185918946,0.33006463227141974,0.09912893230543729,0.12257968766735569,-0.0019579962471931167,0.029331254259314848,0.10863485763433922,0.014118816005061069
2,1565,0.69410737858533111,0.29107995334449821,0.4030274252408329,0.69404441720219945,0.48871652594967374,0.20532789125252571,0.084981312439778883,0.10489025812667985,-0.012801004107713371,0.016092524975911543,0.095186710786551026,-0.00082528525787313456
3,1403,0.60412737121156002,-5.6759075517751567,6.2800349229867169,0.60579817259943658,0.023683652173787904,0.58211452042564871,0.094688931880663907,0.11334147914333234,-0.006176899840477923,0.04050444625462446,0.10365810083833962,0.011957548450599053
4,1558,0.79728670323364459,1.2042126980143648,-0.40692599478072022,0.79420592821387204,0.056638158968816819,0.73756776924505518,0.070344713409540099,0.091206165821056687,-0.020894614585243609,0.013483658332823917,0.083203064826700895,-0.0052731371110703697
5,1575,0.66999407352837925,1.8338317387450254,-1.1638376652166462,0.6681932212406253,0.38094514498086673,0.28724807625975857,0.10100584530108345,0.11271632653061228,-0.001477551020408141,0.023089720332577474,0.10629990929705217,0.011440680272108848
6,1655,0.67596916216955238,-17.492109253510787,18.168078415680338,0.6769793380421395,0.21376298910834343,0.46321634893379604,0.10698297607058938,0.13018030978756057,5.0208603078638614e-05,0.035156308444828088,0.11623568551287589,0.015957164436771684
7,1604,0.66198701949903893,0.83529897911531403,-0.1733119596162751,0.66365065526486267,0.90695818828215857,-0.24330753301729591,0.08981517166679262,0.114774841395789,-0.011273406041174105,0.024995420899410925,0.099523960030264896,0.0040200593123693399
8,1705,0.73768035810719845,-0.012934124036594668,0.75061448214379312,0.73428165154841174,0.85774573007042465,-0.12346407852201291,0.090031420192710571,0.1071968744842646,-0.014416778750395098,0.02688217558417666,0.096604156393225671,0.0071662945923153367
9,1579,0.7224821653461333,1.144953325479944,-0.4224711601338107,0.72272974713071225,0.90069375471734192,-0.17796400758662967,0.087085054836796461,0.11086840996594005,-0.0031615919440492468,0.022785484796716771,0.10045113570910849,0.0089527740171159633
10,1429,0.78366347102377643,-5.8291465234275943,6.6128099944513705,0.78253622560573244,-183.65423309650382,184.43676932210954,0.078439468159552106,0.10233069991283315,-0.014078229294135103,0.015189049345802313,0.091454972318933819,-2.5213910636848193e-05
