replicate,n_questions,A_full,A_block,A_I,B_full,B_block,B_I,den_full_min,den_full_max,den_block_min,den_block_max,den_full_mean,den_block_mean
1,1535,0.75880711721154637,0.69075176599372623,0.068055351217820137,0.76056908897184983,32.657658330184582,-31.897089241212733,0.081441502037593205,0.10664787004526421,-0.013989841305348361,0.025926992117545899,0.093845499092363283,0.00014639097788020361
2,1535,0.70777917978546689,2.4833252364119431,-1.7755460566264762,0.70591956503366571,-0.034596362665279962,0.7405159276989457,0.088482195148318898,0.10696843258081039,-0.0042538719990591889,0.024436634845429572,0.095159354995992082,0.008200276962241293
3,1535,0.66371561290771441,2.6031741889123761,-1.9394585760046616,0.66472407024894475,-0.28420366542521563,0.94892773567416033,0.086075259893711731,0.1038980122302598,-0.0004985835415994011,0.0098139444702962653,0.096719633681130165,0.0039977147269923963
4,1535,0.85730736677263553,1.3581753611887133,-0.50086799441607777,0.85614014194347676,-0.30041049502848688,1.1565506369719636,0.065931596091205219,0.080588481646730353,-0.026222894369474142,0.0073578408562121889,0.074649175174955978,-0.0080487052801576468
5,1535,0.67230717306212084,-0.31755153606117559,0.98985870912329643,0.67385178536422707,0.3039595036510922,0.36989228171313487,0.10010278682591389,0.12682668941626596,0.0011877100460162549,0.034706607724523081,0.11353155547663948,0.01562648232960254
6,1535,0.72725000299549303,-0.55674492694620503,1.2839949299416982,0.7257963021669982,0.54985268449781088,0.17594361766918731,0.091772325394475274,0.11435675507988216,-0.0092826896230805145,0.018433534977508936,0.1028063771449387,0.0080282836090033727
7,1535,0.69786521268197654,0.41640074312197317,0.28146446956000337,0.69860318186021331,0.61326156179243541,0.085341620067777901,0.077054288816503863,0.10414641556948517,-0.007262525205521897,0.01938211571273471,0.095500959618297132,0.0088832034819757433
8,1535,0.76063508246538514,0.35845374692431486,0.40218133554107027,0.75987392187551694,-3.953378854355261,4.7132527762307781,0.079323974975440775,0.10049118453027248,-0.0098997208003722692,0.022516545163124929,0.090890071454918023,-0.00049001616418896941
9,1535,0.80027748577587798,1.3461833581377201,-0.54590587236184207,0.80331131840755121,1.7210137088919037,-0.91770239048435254,0.091650147355359035,0.11471438912155518,-0.0060987328927799289,0.018245531437330625,0.099942991148113586,0.0025355456566305335
10,1535,0.79283479970872262,0.49750529646006497,0.29532950324865764,0.79125198112910444,-0.6282429782753538,1.4194949594044584,0.075762214983713411,0.090913137893593982,-0.020210718163486852,0.010306576702342224,0.084637801937476248,-0.0041689623080502173
