seed,subset,pair_count,pairwise_gold_vs_nongold_discrimination,gold_minus_nongold_same_sign_advantage,tie_fraction
56001,Head32,432441,0.9251262021871192,0.24403191707076805,0.0250230667304904
56001,Tail64,432441,0.8673194724829514,0.1628553447175453,0.02325635173353128
56001,Full96,432441,0.93511831671835,0.18991420216861954,0.011143716715112582
56002,Head32,432441,0.9239977245450824,0.24425051625539668,0.025610430093353776
56002,Tail64,432441,0.8805108673784401,0.1649499584914474,0.022546428298889327
56002,Full96,432441,0.9399420961472201,0.19138347774609718,0.01092172111340044
56003,Head32,432441,0.9215858348306474,0.2435179741282626,0.02566592899378181
56003,Tail64,432441,0.8627801249187751,0.16183031326816838,0.023876089454977673
56003,Full96,432441,0.9310102418595831,0.1890595335548664,0.012140384468632715
56004,Head32,432441,0.9205174809974077,0.24398870308319517,0.02557343082640175
56004,Tail64,432441,0.8717686343339323,0.1649267616854091,0.022641238920453888
56004,Full96,432441,0.9400796871711979,0.1912807421513378,0.011363399862640221
56005,Head32,432441,0.9273450019771483,0.2445559770003307,0.024877382116866808
56005,Tail64,432441,0.8796598842385436,0.16508606809946327,0.022865546976350532
56005,Full96,432441,0.9406554882631388,0.19157603773308574,0.01027654639592453
