axis,mean_var_rank,alone_FR_mean,drop_FR_mean,drop_loss_mean,delta_gold_mean,gold_agree_mean,agree_pool_mean,alone_fr_norm
45,44.976596,0.0084787234,0.5406205674,0.0013546099,0.2091686887,0.7096099291,247.0021,0.698088
46,46.093617,0.0078741135,0.5357783688,0.0061968085,0.1964964874,0.6947872340,245.9021,0.645420
47,47.189362,0.0073421986,0.5423226950,-0.0003475177,0.1892516003,0.6881914894,246.2553,0.602685
48,48.174468,0.0081205674,0.5409946809,0.0009804965,0.1931152811,0.6917375887,246.1149,0.666198
49,49.068085,0.0078741135,0.5438581560,-0.0018829787,0.1651590855,0.6646808511,246.4596,0.646884
50,50.129787,0.0081347518,0.5383918440,0.0035833333,0.1581755265,0.6579787234,246.5489,0.668538
51,50.987234,0.0077393617,0.5379255319,0.0040496454,0.1690870139,0.6682269504,246.2830,0.635358
52,52.114894,0.0083989362,0.5405939716,0.0013812057,0.1969025852,0.6929787234,244.7532,0.685222
53,52.889362,0.0079893617,0.5427765957,-0.0008014184,0.1914570111,0.6905673759,246.2617,0.655825
54,54.065957,0.0075212766,0.5390496454,0.0029255319,0.1390669186,0.6386524823,246.4043,0.617758
55,55.123404,0.0087163121,0.5428546099,-0.0008794326,0.1853948750,0.6832978723,245.6404,0.713693
56,55.959574,0.0077039007,0.5394822695,0.0024929078,0.1789520837,0.6786879433,246.5596,0.633157
57,57.036170,0.0074609929,0.5448829787,-0.0029078014,0.1834092526,0.6834751773,246.6936,0.613526
58,58.289362,0.0087730496,0.5369219858,0.0050531915,0.1776193737,0.6772695035,246.4681,0.720759
59,58.834043,0.0080797872,0.5410957447,0.0008794326,0.1755196075,0.6754609929,246.7149,0.664468
60,60.136170,0.0070992908,0.5393617021,0.0026134752,0.1553972322,0.6548936170,246.4383,0.583179
61,60.948936,0.0085000000,0.5386453901,0.0033297872,0.1875084799,0.6851418440,245.5319,0.695674
62,61.861702,0.0079361702,0.5430212766,-0.0010460993,0.2071960120,0.7051773050,245.7000,0.649972
63,63.065957,0.0076010638,0.5392624113,0.0027127660,0.1638182711,0.6614184397,245.4766,0.621961
64,64.157447,0.0080531915,0.5365460993,0.0054290780,0.1611423248,0.6598936170,246.0553,0.660510
65,65.040426,0.0081950355,0.5367092199,0.0052659574,0.2009201508,0.6983687943,245.5085,0.670650
