seed,arm,subset,pair_count,pairwise_gold_vs_nongold_discrimination,gold_minus_nongold_same_sign_advantage,tie_fraction
57001,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Head32,432441,0.9190039797336516,0.24377386163661632,0.02707883850051221
57001,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Tail64,432441,0.8688468484718147,0.16324878711778024,0.02382752791710314
57001,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Full96,432441,0.9319722228003358,0.19009047862405895,0.01169176835683943
57001,RANDOM32_COMPLEMENT64_HAAR,Random32,432441,0.8846305045081294,0.21702144049708516,0.031844806574769735
57001,RANDOM32_COMPLEMENT64_HAAR,Random64,432441,0.9297696101895981,0.2172526859155353,0.012878057353488685
57001,RANDOM32_COMPLEMENT64_HAAR,Full96,432441,0.9436038673483782,0.21717560410938527,0.00824621162193224
57002,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Head32,432441,0.9180003746175779,0.240115559116735,0.027111212859095228
57002,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Tail64,432441,0.8707765914887812,0.16343797477574976,0.023011231589974125
57002,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Full96,432441,0.9334383187533097,0.18899716955607818,0.011812015974433506
57002,RANDOM32_COMPLEMENT64_HAAR,Random32,432441,0.8854421759268895,0.2151217593845172,0.032062177268112876
57002,RANDOM32_COMPLEMENT64_HAAR,Random64,432441,0.9308726508356053,0.21950339034689126,0.012734685194049593
57002,RANDOM32_COMPLEMENT64_HAAR,Full96,432441,0.9452075543253299,0.21804284669276658,0.008447395135983868
57003,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Head32,432441,0.9228310914090014,0.2454487288439348,0.02488200702523581
57003,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Tail64,432441,0.8655238518086861,0.16202838942190959,0.022435430498033256
57003,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Full96,432441,0.9306148121940334,0.1898351692292513,0.011516021838817319
57003,RANDOM32_COMPLEMENT64_HAAR,Random32,432441,0.8927368126518993,0.22610700072379816,0.030626143219537463
57003,RANDOM32_COMPLEMENT64_HAAR,Random64,432441,0.9252892302071265,0.21169101680922947,0.013999597632971896
57003,RANDOM32_COMPLEMENT64_HAAR,Full96,432441,0.9451370244727026,0.21649634478075236,0.008315585247467285
57004,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Head32,432441,0.9231583036761084,0.2424446340656876,0.025471682842283686
57004,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Tail64,432441,0.8683057341926413,0.16188769103762132,0.02338353671367886
57004,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Full96,432441,0.9347702923635826,0.18874000538031008,0.011058155910286027
57004,RANDOM32_COMPLEMENT64_HAAR,Random32,432441,0.8567550255410564,0.19416947918906857,0.03699464204365451
57004,RANDOM32_COMPLEMENT64_HAAR,Random64,432441,0.9428453823758617,0.22649675765017654,0.012339255528499841
57004,RANDOM32_COMPLEMENT64_HAAR,Full96,432441,0.9472240143742152,0.21572099816314058,0.007860031773120495
57005,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Head32,432441,0.9189080128849947,0.24225436244481907,0.026563161217368382
57005,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Tail64,432441,0.880385994852477,0.1645746182716255,0.02221805980469012
57005,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Full96,432441,0.9417145922796405,0.19046786632935667,0.010600289981754737
57005,RANDOM32_COMPLEMENT64_HAAR,Random32,432441,0.8853704898471699,0.22261714603841912,0.03173843368228267
57005,RANDOM32_COMPLEMENT64_HAAR,Random64,432441,0.9280017389655467,0.21368084750289634,0.014031971991554917
57005,RANDOM32_COMPLEMENT64_HAAR,Full96,432441,0.9459602581623852,0.21665961368140393,0.008223087080087225
57006,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Head32,432441,0.924825583143134,0.24610553809652647,0.02421833267428389
57006,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Tail64,432441,0.8695972398546854,0.16194748965754865,0.022779986171523978
57006,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Full96,432441,0.9325780857966751,0.19000017247054124,0.011085905360500045
57006,RANDOM32_COMPLEMENT64_HAAR,Random32,432441,0.8980947689973893,0.22418050959552863,0.029599413561618812
57006,RANDOM32_COMPLEMENT64_HAAR,Random64,432441,0.9179541255338879,0.21484032648384405,0.014286341951850079
57006,RANDOM32_COMPLEMENT64_HAAR,Full96,432441,0.9411584470482679,0.21795372085440556,0.008484394402935892
57007,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Head32,432441,0.9216147405079537,0.24324409283578569,0.024572138164512616
57007,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Tail64,432441,0.8743053965743304,0.1654287449039291,0.023580095319361484
57007,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Full96,432441,0.9355287773360991,0.19136719421454795,0.011169153711142098
57007,RANDOM32_COMPLEMENT64_HAAR,Random32,432441,0.9001528532215956,0.22628065158021557,0.02893805166485139
57007,RANDOM32_COMPLEMENT64_HAAR,Random64,432441,0.9208261936310387,0.2129045494067399,0.014577711179097265
57007,RANDOM32_COMPLEMENT64_HAAR,Full96,432441,0.944567004516223,0.21736325013123178,0.008697140187910027
57008,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Head32,432441,0.9151618371061023,0.2415987816835129,0.02684528062787756
57008,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Tail64,432441,0.8680363332801468,0.16163245390700698,0.023626344403051513
57008,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Full96,432441,0.9316727599834428,0.1882878964991756,0.011527584109739825
57008,RANDOM32_COMPLEMENT64_HAAR,Random32,432441,0.9129996924435935,0.23548414697033815,0.02591567404570797
57008,RANDOM32_COMPLEMENT64_HAAR,Random64,432441,0.9066381309820299,0.20157944956653046,0.01729484484588649
57008,RANDOM32_COMPLEMENT64_HAAR,Full96,432441,0.9414555974109763,0.21288101536779971,0.009152693662256817
57009,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Head32,432441,0.9186386119725003,0.24439309350870986,0.025030004093043907
57009,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Tail64,432441,0.8742868969408544,0.16426543592073833,0.02280311071336899
57009,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Full96,432441,0.9383083472658698,0.19097465511672881,0.01125240206178415
57009,RANDOM32_COMPLEMENT64_HAAR,Random32,432441,0.885513862006609,0.21434954421528024,0.03103082270182522
57009,RANDOM32_COMPLEMENT64_HAAR,Random64,432441,0.928791442069554,0.2219081620382896,0.01394178627835936
57009,RANDOM32_COMPLEMENT64_HAAR,Full96,432441,0.945986851385507,0.21938862276395316,0.007989529207452578
57010,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Head32,432441,0.9179263760836739,0.24276461991346795,0.025857862691095433
57010,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Tail64,432441,0.8705569083412535,0.1626440803485331,0.023482972243612423
57010,SPECTRAL_HEAD32_TAIL64_HAAR_NEW,Full96,432441,0.9315004821466975,0.18935092687017807,0.012154259193739725
57010,RANDOM32_COMPLEMENT64_HAAR,Random32,432441,0.886219160532882,0.21758922026357352,0.032122301076909915
57010,RANDOM32_COMPLEMENT64_HAAR,Random64,432441,0.9300239801498933,0.21707867373815157,0.01379841411892027
