seed,spectral_R3,random_R3,rho_spec,rho_rand,Delta
57001,0.5239929078014185,0.36856028368794325,0.11291245555088188,1.0888893342151018,0.9759768786642199
57002,0.50604609929078,0.3718014184397163,0.22560224800661421,1.0685379273183346,0.8429356793117204
57003,0.5151861702127659,0.3849113475177305,0.16821083523154023,0.9862193810411487,0.8180085458096085
57004,0.5120691489361702,0.3739432624113475,0.18778292129528015,1.055089076371237,0.8673061550759569
57005,0.5042641843971631,0.3799007092198582,0.23679106853793233,1.0176816763859318,0.7808906078479995
57006,0.5286170212765957,0.39801418439716313,0.08387718794324094,0.9039453673829926,0.8200681794397516
57007,0.523723404255319,0.38356028368794326,0.11460469507402762,0.9947028449663875,0.8800981498923599
57008,0.5074556737588652,0.39766666666666667,0.21675138997437624,0.9061274657154688,0.6893760757410925
57009,0.5060992907801418,0.3949326241134752,0.22526825336388775,0.9232947903515819,0.6980265369876941
57010,0.5205762411347518,0.36695744680851056,0.13436604476864503,1.0989537061159105,0.9645876613472655
