seed,high_bad,high_bad_full_good,high_good,high_good_full_bad,hm_bad,hm_bad_full_good,high_wrong_or_tie_to_full_rescue,high_correct_to_full_degrade,highmid_wrong_or_tie_to_full_rescue
55001,1475,176,60,18,1397,105,0.11932203389830509,0.3,0.07516105941302792
55002,1478,161,57,15,1407,103,0.10893098782138025,0.2631578947368421,0.07320540156361052
55003,1476,159,59,18,1407,94,0.10772357723577236,0.3050847457627119,0.06680881307746979
55004,1468,160,67,12,1397,99,0.10899182561307902,0.1791044776119403,0.07086614173228346
55005,1482,162,53,10,1405,94,0.10931174089068826,0.18867924528301888,0.06690391459074733
