seed,method,Fractional_R3,native_minus_intervention_pp
55001,WITHIN_SPECTRAL_BAND_HAAR,0.23445227519494619,0.20948714694643544
55001,HAAR_HIGH_MID64,0.18103975304463907,5.550739361977147
55001,HAAR_HIGH_LOW64,0.1725585755178589,6.398857114655165
55001,HAAR_MID_LOW64,0.23588769265479367,0.06594540096168666
55002,WITHIN_SPECTRAL_BAND_HAAR,0.24100557625083394,-0.4458429586423396
55002,HAAR_HIGH_MID64,0.18764959741669837,4.889754924771217
55002,HAAR_HIGH_LOW64,0.16980715484298547,6.673999182142507
55002,HAAR_MID_LOW64,0.2308992443352978,0.5647902329112747
55003,WITHIN_SPECTRAL_BAND_HAAR,0.22049886321126022,1.604828345315032
55003,HAAR_HIGH_MID64,0.18370618704494926,5.284095961946128
55003,HAAR_HIGH_LOW64,0.16900748997654536,6.753965668786519
55003,HAAR_MID_LOW64,0.2319875438478619,0.455960281654863
55004,WITHIN_SPECTRAL_BAND_HAAR,0.2332401821848076,0.3306964479602936
55004,HAAR_HIGH_MID64,0.18328299279439347,5.326415387001707
55004,HAAR_HIGH_LOW64,0.16614439749061727,7.040274917379327
55004,HAAR_MID_LOW64,0.231823358955664,0.4723787708746541
55005,WITHIN_SPECTRAL_BAND_HAAR,0.22129971270649057,1.524743395791997
55005,HAAR_HIGH_MID64,0.19111943069597795,4.542771596843259
55005,HAAR_HIGH_LOW64,0.17303511472437008,6.351203194004046
55005,HAAR_MID_LOW64,0.237168297404837,-0.06211507404264571
