conv_id,band,archive_size,bits,unique_code_fraction,duplicate_fraction,mean_abs_bit_correlation,mean_coordinate_variance,mean_svd_explained_variance
locomo_0,High32,419,32,1.0,0.0,0.03860089503087612,0.020378977398696235,0.03821833989731228
locomo_0,Mid32,419,32,1.0,0.0,0.032781919867624215,0.004254461588953947,0.00802417797697495
locomo_0,Low32,419,32,1.0,0.0,0.03087163877215996,0.0032654770352532874,0.0060790796883032055
locomo_0,HighMid64,419,64,1.0,0.0,0.03382912001642146,0.01231671949382509,0.02312125893714361
locomo_0,HighLow64,419,64,1.0,0.0,0.032766118752948506,0.01182222721697476,0.02214870979280774
locomo_0,MidLow64,419,64,1.0,0.0,0.03129927521204519,0.0037599693121036174,0.0070516288326390765
locomo_0,Full96,419,96,1.0,0.0,0.03215726560655382,0.009299638674301157,0.017440532520863476
locomo_1,High32,369,32,1.0,0.0,0.043160197283144706,0.020215934276106885,0.03969279780195809
locomo_1,Mid32,369,32,1.0,0.0,0.033811021669622875,0.004511823191295334,0.008891722276683462
locomo_1,Low32,369,32,1.0,0.0,0.0331774663116017,0.003416919627136493,0.0066083050416410926
locomo_1,HighMid64,369,64,1.0,0.0,0.03652181222911965,0.01236387873370111,0.02429226003932078
locomo_1,HighLow64,369,64,1.0,0.0,0.03570443091564665,0.011816426951621689,0.023150551421799594
locomo_1,MidLow64,369,64,1.0,0.0,0.03294769444325791,0.003964371409215913,0.007750013659162276
locomo_1,Full96,369,96,1.0,0.0,0.03451686629086176,0.009381559031512903,0.018397608373427552
locomo_2,High32,663,32,0.9969834087481146,0.003016591251885359,0.03559235448911731,0.02089606027332342,0.036187681697142225
locomo_2,Mid32,663,32,1.0,0.0,0.0268074769511499,0.003767862870139172,0.006590402886331323
locomo_2,Low32,663,32,1.0,0.0,0.025011790574835973,0.002822894333755101,0.004828840294948399
locomo_2,HighMid64,663,64,1.0,0.0,0.029356106460516777,0.012331961571731297,0.021389042291736774
locomo_2,HighLow64,663,64,1.0,0.0,0.028151811775722693,0.011859477303539262,0.02050826099604531
locomo_2,MidLow64,663,64,1.0,0.0,0.02525536752425568,0.003295378601947137,0.0057096215906398615
locomo_2,Full96,663,96,1.0,0.0,0.02708215341527786,0.009162272492405898,0.01586897495947398
locomo_3,High32,629,32,0.9904610492845787,0.009538950715421324,0.04221584279970372,0.020984082584542853,0.03645858746310268
locomo_3,Mid32,629,32,0.9984101748807631,0.0015898251192368873,0.027515678512047934,0.0038773701953141136,0.006773091285784041
locomo_3,Low32,629,32,0.9968203497615262,0.0031796502384737746,0.026484439764624036,0.0029583485471449227,0.005048146086586505
locomo_3,HighMid64,629,64,0.9984101748807631,0.0015898251192368873,0.031865091650273306,0.012430726389928481,0.021615839374443363
locomo_3,HighLow64,629,64,0.9984101748807631,0.0015898251192368873,0.030960959502966193,0.01197121556584389,0.020753366774844594
locomo_3,MidLow64,629,64,0.9984101748807631,0.0015898251192368873,0.026856354707121586,0.003417859371229518,0.005910618686185273
locomo_3,Full96,629,96,0.9984101748807631,0.0015898251192368873,0.029183467877325783,0.00927326710900063,0.016093274945157745
locomo_4,High32,680,32,0.9985294117647059,0.0014705882352941124,0.040257707246174175,0.021161540914727123,0.0362206785109528
locomo_4,Mid32,680,32,1.0,0.0,0.02524862394870548,0.003727840108035436,0.006447394550659199
locomo_4,Low32,680,32,1.0,0.0,0.026019135117214702,0.002842926415311838,0.004820298464278684
locomo_4,HighMid64,680,64,1.0,0.0,0.030101299680442038,0.012444690511381279,0.021334036530806
locomo_4,HighLow64,680,64,1.0,0.0,0.029795260424283317,0.012002233665019481,0.020520488487615743
locomo_4,MidLow64,680,64,1.0,0.0,0.025363079795116816,0.003285383261673637,0.0056338465074689415
locomo_4,Full96,680,96,1.0,0.0,0.02773833393580768,0.009244102479358132,0.015829457175296897
locomo_5,High32,675,32,1.0,0.0,0.03365281881952723,0.02105779208004077,0.03620452106149869
locomo_5,Mid32,675,32,1.0,0.0,0.026793573171255514,0.0037530948784620047,0.006543889883917047
locomo_5,Low32,675,32,1.0,0.0,0.0254891203224056,0.002882212001814611,0.004927982433972007
locomo_5,HighMid64,675,64,1.0,0.0,0.028714224566157822,0.012405443479251387,0.021374205472707866
locomo_5,HighLow64,675,64,1.0,0.0,0.027409643832646418,0.01197000204092769,0.020566251747735347
locomo_5,MidLow64,675,64,1.0,0.0,0.025594016310336892,0.003317653440138308,0.0057359361589445265
locomo_5,Full96,675,96,1.0,0.0,0.026780535409273488,0.00923103298677246,0.01589213112646258
locomo_6,High32,689,32,0.9941944847605225,0.005805515239477477,0.03656680645973434,0.021309668638016938,0.035615702099855845
locomo_6,Mid32,689,32,0.9985486211901307,0.0014513788098693414,0.02566170196525123,0.003711835294008016,0.006313881265122589
locomo_6,Low32,689,32,0.9985486211901307,0.0014513788098693414,0.02475538858158966,0.0028704905351340827,0.004752627110144641
locomo_6,HighMid64,689,64,0.9985486211901307,0.0014513788098693414,0.029145615708680638,0.012510751966012477,0.020964791682489218
locomo_6,HighLow64,689,64,0.9985486211901307,0.0014513788098693414,0.027888627782578564,0.01209007958657551,0.020184164605000242
locomo_6,MidLow64,689,64,0.9985486211901307,0.0014513788098693414,0.025651335127540916,0.0032911629145710494,0.005533254187633616
locomo_6,Full96,689,96,0.9985486211901307,0.0014513788098693414,0.027094323153561344,0.009297331489053012,0.015560736825041027
locomo_7,High32,681,32,0.9897209985315712,0.01027900146842875,0.03828772160474783,0.021235685823283976,0.03572007802035669
locomo_7,Mid32,681,32,0.9985315712187959,0.001468428781204123,0.028516691279604968,0.0037080256697896597,0.006359371554424056
locomo_7,Low32,681,32,0.9985315712187959,0.001468428781204123,0.025170507602743166,0.002883854242856792,0.004801138909656231
locomo_7,HighMid64,681,64,0.9985315712187959,0.001468428781204123,0.03026914712796326,0.012471855746536819,0.021039724787390374
locomo_7,HighLow64,681,64,0.9985315712187959,0.001468428781204123,0.02861523888479723,0.012059770033070384,0.020260608465006463
locomo_7,MidLow64,681,64,0.9985315712187959,0.001468428781204123,0.0258082465162042,0.003295939956323226,0.005580255232040143
locomo_7,Full96,681,96,0.9985315712187959,0.001468428781204123,0.027438768994910788,0.009275855245310142,0.015626862828145658
locomo_8,High32,509,32,1.0,0.0,0.038989095391678705,0.020867313167078898,0.037415033779152465
locomo_8,Mid32,509,32,1.0,0.0,0.029035900374853544,0.00405804429914168,0.007340930892504293
locomo_8,Low32,509,32,1.0,0.0,0.028064403067116734,0.0031564617498962156,0.005556439916575052
locomo_8,HighMid64,509,64,1.0,0.0,0.033165805029666415,0.012462678733110289,0.022377982335828384
locomo_8,HighLow64,509,64,1.0,0.0,0.030884649893296545,0.01201188745848756,0.021485736847863757
locomo_8,MidLow64,509,64,1.0,0.0,0.028167344017073114,0.003607253024518948,0.006448685404539673
locomo_8,Full96,509,96,1.0,0.0,0.03031814492140851,0.009360606405372266,0.016770801529410604
locomo_9,High32,568,32,1.0,0.0,0.035519435326763604,0.02078466941215011,0.036907814242672865
locomo_9,Mid32,568,32,1.0,0.0,0.0282090433028365,0.0038773682211974843,0.006931266468134729
locomo_9,Low32,568,32,1.0,0.0,0.02681972608367067,0.0029754808753653062,0.0052296923717087915
locomo_9,HighMid64,568,64,1.0,0.0,0.03139109150356727,0.012331018816673797,0.021919540355403798
locomo_9,HighLow64,568,64,1.0,0.0,0.029559660418685366,0.011880075143757711,0.02106875330719083
locomo_9,MidLow64,568,64,1.0,0.0,0.026991604286035184,0.003426424548281395,0.00608047941992176
locomo_9,Full96,568,96,1.0,0.0,0.029030675565378493,0.009212506169570965,0.01635625769417213
