band,bits,fractional_R3,unique_code_fraction_doc_weighted,duplicate_fraction_doc_weighted,mean_abs_bit_correlation_doc_weighted,mean_coordinate_variance_doc_weighted,mean_svd_explained_variance_doc_weighted,gold_minus_nongold_same_sign_advantage,pairwise_gold_vs_nongold_discrimination,pair_count
High32,32,0.08595274495149952,0.9965997959877593,0.0034002040122407284,0.03801959103652697,0.020949748899398928,0.036641551674845826,0.08796716212738445,0.7269477206644921,1433817.0
Mid32,32,0.11170843808849175,0.9994899693981639,0.0005100306018361078,0.027958198895157053,0.003876780195875901,0.0068732966659901815,0.08751681264066474,0.7221360884966491,1433817.0
Low32,32,0.14046110006533458,0.9993199591975519,0.000680040802448145,0.026697273641921346,0.002971527771039225,0.005152911239961196,0.0805020140296844,0.6993465693320696,1433817.0
HighMid64,64,0.16634495697400467,0.9994899693981639,0.0005100306018361078,0.031012296794827903,0.012413264547637413,0.021757424170418007,,,
HighLow64,64,0.1862041471015412,0.9994899693981639,0.0005100306018361078,0.02975480046103752,0.011960638335219076,0.020897231457403513,,,
MidLow64,64,0.21767206264600403,0.9994899693981639,0.0005100306018361078,0.026921030556357684,0.0034241539834575624,0.00601310395297569,,,
Full96,96,0.23654714666441054,0.9994899693981639,0.0005100306018361078,0.028686937310731034,0.009266018955438016,0.0162225865269324,0.08532866293257786,0.7934331926598722,1433817.0
