group,n,distribution,seed_i,seed_j,raw_frobenius,raw_normalized,signed_permutation_frobenius,signed_permutation_normalized
haar_null_shared,,,8312001,8312002,13.868561269619402,1.4154541073788658,11.81079256769374,1.2054339686960673
haar_null_shared,,,8312001,8312003,13.765785487348895,1.4049645980256105,11.899338334546758,1.2144711331824565
haar_null_shared,,,8312001,8312004,13.930974695877044,1.4218241510217844,11.809992613662951,1.2053523237296875
haar_null_shared,,,8312001,8312005,13.70423028718535,1.3986821467166286,11.830188984430526,1.2074136071895467
haar_null_shared,,,8312001,8312006,13.987100137351879,1.4275524299051923,11.85737347280682,1.210188112416236
haar_null_shared,,,8312001,8312007,13.744859422584135,1.4028288404840232,11.840436242832567,1.2084594636206902
haar_null_shared,,,8312001,8312008,13.925044570184166,1.4212189101026962,11.87106344802949,1.2115853396615228
haar_null_shared,,,8312001,8312009,13.796164659781795,1.40806515932847,11.839915477238902,1.2084063132048537
haar_null_shared,,,8312001,8312010,13.912036714939232,1.4198913014361096,11.872209736460611,1.2117023322346188
haar_null_shared,,,8312001,8312011,13.747067018066447,1.4030541522544457,11.834406570445427,1.2078440627596636
haar_null_shared,,,8312001,8312012,13.7923022870133,1.407670957558502,11.887240739005064,1.2132364275078014
haar_null_shared,,,8312001,8312013,13.831569870325522,1.4116786884979675,11.817540709530574,1.206122698038241
haar_null_shared,,,8312001,8312014,13.91659465175953,1.4203564939148419,11.844684848597796,1.2088930851308177
haar_null_shared,,,8312001,8312015,13.848765361532978,1.4134336959702503,11.856787150460242,1.2101282711423231
haar_null_shared,,,8312001,8312016,13.863401881616058,1.4149275295458146,11.846508247390112,1.209079184990767
haar_null_shared,,,8312001,8312017,13.86277794596766,1.41486384938036,11.835594668562798,1.2079653225159936
haar_null_shared,,,8312001,8312018,13.836426870932359,1.4121744040465982,11.83841582045646,1.208253255125425
haar_null_shared,,,8312001,8312019,13.781345762905193,1.406552711999362,11.859366715873625,1.2103915469348614
haar_null_shared,,,8312001,8312020,13.8770114608009,1.4163165514048506,11.8564829343134,1.2100972222118531
haar_null_shared,,,8312002,8312003,13.833861903827165,1.4119126181876505,11.85404337754536,1.2098482359918425
haar_null_shared,,,8312002,8312004,13.80260314791273,1.4087222847716268,11.859284322818008,1.2103831377288359
haar_null_shared,,,8312002,8312005,13.806981879909522,1.409169187234649,11.878211518592579,1.2123148865583968
haar_null_shared,,,8312002,8312006,13.8973242505938,1.4183897168317263,11.828440334744844,1.2072351363783467
haar_null_shared,,,8312002,8312007,13.881645921680452,1.4167895540876752,11.870181829393314,1.2114953598362577
haar_null_shared,,,8312002,8312008,13.81159289384744,1.4096397968740142,11.844420980176277,1.2088661541728196
haar_null_shared,,,8312002,8312009,13.747033990422743,1.4030507813846755,11.837077626854969,1.2081166763128954
haar_null_shared,,,8312002,8312010,13.955407380366653,1.424317801440366,11.922168925556687,1.2168012706199771
haar_null_shared,,,8312002,8312011,13.973315198440247,1.4261455104689864,11.89788544707896,1.214322848476215
haar_null_shared,,,8312002,8312012,13.880618549221404,1.4166846983251564,11.845039387696811,1.2089292701260865
haar_null_shared,,,8312002,8312013,13.682519646398285,1.39646631372008,11.913418885999373,1.215908223447286
haar_null_shared,,,8312002,8312014,13.913814539773222,1.420072749923415,11.825905687832275,1.2069764450611002
haar_null_shared,,,8312002,8312015,13.752546919675975,1.4036134423704456,11.845655941610454,1.2089921968963926
haar_null_shared,,,8312002,8312016,13.861832526337059,1.414767357893369,11.910268129329744,1.215586650691275
haar_null_shared,,,8312002,8312017,13.774051607383583,1.4058082553688431,11.86844333674865,1.2113179256737157
haar_null_shared,,,8312002,8312018,13.899698437383625,1.4186320312562735,11.851969989128522,1.2096366216726822
haar_null_shared,,,8312002,8312019,13.862394518104749,1.4148247159379725,11.857563708932819,1.2102075283095417
haar_null_shared,,,8312002,8312020,13.857261832223411,1.4143008633788365,11.799118264293439,1.2042424650946848
haar_null_shared,,,8312003,8312004,13.794163146324879,1.4078608807166886,11.791610404271472,1.2034761973399324
haar_null_shared,,,8312003,8312005,13.857262369754803,1.4143009182404045,11.84664946803691,1.2090935982626754
haar_null_shared,,,8312003,8312006,13.734172020097862,1.4017380620353932,11.791726224300703,1.203488018172166
haar_null_shared,,,8312003,8312007,13.801942200956953,1.4086548271554309,11.820795642616735,1.206454903255241
haar_null_shared,,,8312003,8312008,13.945029146892523,1.4232585774219038,11.885627330183008,1.2130717596594454
haar_null_shared,,,8312003,8312009,13.697514008986957,1.3979966694434351,11.864374593706783,1.210902661325921
haar_null_shared,,,8312003,8312010,13.985214777148677,1.4273600061352256,11.785216538707603,1.2028236261684562
haar_null_shared,,,8312003,8312011,13.915690606599073,1.4202642251920272,11.860110737198552,1.2104674832933537
haar_null_shared,,,8312003,8312012,13.787159271589761,1.4071460507448799,11.826399352000164,1.2070268294492512
haar_null_shared,,,8312003,8312013,13.866428438285983,1.4152364261924366,11.842823727704207,1.208703135275029
haar_null_shared,,,8312003,8312014,13.975998043443767,1.4264193271905532,11.884174664547803,1.2129234975938985
haar_null_shared,,,8312003,8312015,13.770413435347058,1.4054369359902619,11.865287945010033,1.2109958798529572
haar_null_shared,,,8312003,8312016,13.816671352461253,1.4101581148858342,11.842022566970304,1.2086213671500283
haar_null_shared,,,8312003,8312017,13.808452606721417,1.409319292661323,11.87186988140643,1.2116676459234
haar_null_shared,,,8312003,8312018,13.864155443910645,1.4150044396754453,11.872472824792826,1.2117291835750856
haar_null_shared,,,8312003,8312019,13.857226194162534,1.4142972260844795,11.88039324716533,1.2125375582984173
haar_null_shared,,,8312003,8312020,13.856954577199186,1.4142695042942426,11.860155817349789,1.210472084267023
haar_null_shared,,,8312004,8312005,13.931844595361085,1.4219129347660933,11.9051001791392,1.2150591989836521
haar_null_shared,,,8312004,8312006,13.81110463765542,1.409589964435089,11.833609654388738,1.207762727855217
haar_null_shared,,,8312004,8312007,13.976303312314439,1.4264504835641991,11.83422181863044,1.2078252066065063
