distribution,n,data_seed,initialization_seed,iterations,converged,stop_reason,cap_hit,initial_objective_mean,final_objective_mean,initial_objective_sum,final_objective_sum,relative_training_objective_reduction,orthogonality_frobenius_error,monotonicity_violations,positive_half_step_increases_within_tolerance,largest_positive_half_step_increase,exact_zero_projection_entries_over_observed_steps,elapsed_seconds,data_sha256,initial_rotation_sha256,final_rotation_sha256,final_binary_codes_sha256
gaussian,100,5212100,7312011,10,True,relative_objective_stable_5,False,0.40539671894046453,0.15358610881571513,3891.8085018284596,1474.4266446308652,0.6211461473661547,2.5728362637817045e-14,0,0,0.0,0,0.018483699997887015,89f7d1b3dd8b554c5b8e6e088ae0af98f91818f82b0bdd1f1d91eadb8b25aaa2,29cc27e854074dcb7cc1d9a2eac087eead0871b2c61077be3062d9ef3f931820,965ce3e2ef2ec3146a4cf11dc9df97901819bd167be9ae25b5c5953ee42d62ce,5ce5c4bca1f59187815abb8eda02c56fc3b9f99b7f321fffb3857115a7acf609
gaussian,100,5212100,7312012,9,True,relative_objective_stable_5,False,0.3998620422004326,0.15002032561861461,3838.6756051241528,1440.1951259387004,0.6248197883623665,2.604238482535048e-14,0,0,0.0,0,0.019361099926754832,89f7d1b3dd8b554c5b8e6e088ae0af98f91818f82b0bdd1f1d91eadb8b25aaa2,dc1a7babe16644337529c22e7a9294b5534ca55919e4c85756bf9c2be6d038b5,d764b3c5a6d1bdc4d37e6f156001491ce81c456b702d444bf0a4532a0cf7394a,6f82c2f73d5b3e53f106d2d23566f12411e654b6d4ed5d38273151d044d83278
gaussian,100,5212100,7312013,14,True,relative_objective_stable_5,False,0.4110893314597925,0.15246340478801643,3946.457582014008,1463.6486859649576,0.6291234213093938,2.6367004729230842e-14,0,0,0.0,0,0.02837150008417666,89f7d1b3dd8b554c5b8e6e088ae0af98f91818f82b0bdd1f1d91eadb8b25aaa2,2ae805ae258cddf4752bcf6cd2f3caefb21bd53199a2b18404e951f38b5c142e,f3950bca4c8a785192551049eace3f46fbfcf1f2710713ac1a748c7907c3a863,18a468669ecbeac384587709be217523b1b9329e5f0e0c9de6ed6eab25052785
gaussian,100,5212100,7312014,11,True,relative_objective_stable_5,False,0.40298186835730526,0.14940258462002998,3868.6259362301307,1434.2648123522877,0.6292573032403491,2.673380686004818e-14,0,0,0.0,0,0.021057400037534535,89f7d1b3dd8b554c5b8e6e088ae0af98f91818f82b0bdd1f1d91eadb8b25aaa2,94d8799a77edb0763fd9fc46fc42dd4ad6e8560b98adad5147efe8f07530255f,28fcf918a829f5a40a04aa9be46b6878470cfc1a87c4ec595882c71b3f62dc13,ae9e7cd07cb086504e47cbbab05039dbb7128491594c3c81cdfc69dd62e0d25e
gaussian,100,5212100,7312015,12,True,relative_objective_stable_5,False,0.4029489892208239,0.15209086205286465,3868.3102965199096,1460.0722757075007,0.6225555439487257,2.7292970549923335e-14,0,0,0.0,0,0.022177699953317642,89f7d1b3dd8b554c5b8e6e088ae0af98f91818f82b0bdd1f1d91eadb8b25aaa2,26478f94f92f579abb988a4aee1bd8066ba64eff5b4179b9aa12eb8b2d38d860,ec21c71ca0d605c4f2844ac646bd4c0249aefce0f1fc2a8e36afad35a7402c2c,1157e7365e35a8cd5c8c80d8ad1c7c7b625fc5e83e8319db682bb5f6012ee5f2
gaussian,100,5212100,7312016,14,True,relative_objective_stable_5,False,0.40373585345777374,0.14967198030489695,3875.864193194628,1436.8510109270107,0.6292824156610334,2.764414871940388e-14,0,0,0.0,0,0.028865200001746416,89f7d1b3dd8b554c5b8e6e088ae0af98f91818f82b0bdd1f1d91eadb8b25aaa2,3134165718aaeb6a31e150dedfddf9b597c56629b4d90c6bfa3a4716e07460b2,448caf6af33a807691e9a384c81f21ba5a891a86d2eaf93b2ff367d86d930e5a,8e2f111986c9029b2b07dd5fd445571c39001a2831b036cbc82feef4bd20b02e
gaussian,100,5212100,7312017,14,True,relative_objective_stable_5,False,0.3976007776915361,0.14637263153761396,3816.9674658387466,1405.177262761094,0.6318602986959655,2.7873899629463766e-14,0,0,0.0,0,0.026530199917033315,89f7d1b3dd8b554c5b8e6e088ae0af98f91818f82b0bdd1f1d91eadb8b25aaa2,b34362e585f7f7ea99dbb512620be21c1a9b8c581738bcbaf20dea35487f5877,43bcbfc7650a3f1c71f10308c4a7ce237898a77f2a0f17b121751e508bf922bd,fb6c362a66dbff6986d412ce3e0f6d02ca0c247472b14b74dbd5cf3ad9ef075c
gaussian,100,5212100,7312018,11,True,relative_objective_stable_5,False,0.4070632567252836,0.15208752405896733,3907.8072645627226,1460.0402309660865,0.6263786486590037,2.6860503240905606e-14,0,0,0.0,0,0.0227752000791952,89f7d1b3dd8b554c5b8e6e088ae0af98f91818f82b0bdd1f1d91eadb8b25aaa2,bf9469e1ec5451c1579d8b06451f1b86556194bd114370b700fd5b48eeed3fc1,920aa80fcae56a31fe226ff61cf8d456e6f4545ec8fc396ee4384ae869a72392,c760219335f07a188f0889d45714addbac769d12628f5d830268a98b82fb88a4
gaussian,100,5212100,7312019,12,True,relative_objective_stable_5,False,0.40181039129954355,0.15226607309558504,3857.3797564756183,1461.7543017176165,0.6210499370035629,2.5841035692619054e-14,0,0,0.0,0,0.033725899993442,89f7d1b3dd8b554c5b8e6e088ae0af98f91818f82b0bdd1f1d91eadb8b25aaa2,7b59124bfd816b54117141b0ba0a99a2a443ba79bc8819a0f7de95c8edd8fefb,34c508e3b467bd3a515279e34863404e27a4c3db4bb11b27ad60900a2503eeed,b506bcb23441cac91f882e3a82cfe558ba604634b387fbf1ff514656953f1e8f
gaussian,100,5212100,7312020,12,True,relative_objective_stable_5,False,0.4048377245634903,0.14761017016994557,3886.442155809507,1417.0576336314775,0.6353843497932317,2.5744841339146517e-14,0,0,0.0,0,0.0411336999386549,89f7d1b3dd8b554c5b8e6e088ae0af98f91818f82b0bdd1f1d91eadb8b25aaa2,707fcf116933a0c17d6c504e7dd5036df80900c37f7bf3c512d613ccb59ddcaa,271f3104eb2959803dd7542f716023924ae6846de9f03e2a9f58a8fe1e3f52b9,741c38ecb16c8fd9aa8be6b1b045148681b05e5a6e80a5520d3fd2d9c1316090
